path,size_bytes,source_sha256,staged_sha256,copy_validation
artifacts/model_01_order_logistic/functional_feasibility/02g_purchase_volume_curve_90d.npy,34729328,774a32d80db452cff707fe6d35140f26602406f3abe39c2e634c8098e392bfba,774a32d80db452cff707fe6d35140f26602406f3abe39c2e634c8098e392bfba,PASS
artifacts/model_01_order_logistic/functional_feasibility/02h_purchase_freight_curve_90d.npy,69458528,3075494fa8664e760091df26c14a6b9bf3ae75bc22de55a8c60d70e38b1209c1,3075494fa8664e760091df26c14a6b9bf3ae75bc22de55a8c60d70e38b1209c1,PASS
artifacts/model_01_order_logistic/pretraining/ORDER_CORE_V1_AUDIT_MATRIX.csv,12872987,1bd81b991def0773c8cafcaaf579e31049a8af0695024324c79ac3bf56abc20d,1bd81b991def0773c8cafcaaf579e31049a8af0695024324c79ac3bf56abc20d,PASS
artifacts/shipping_friction/27a_01_shipping_friction_core.csv,29771671,f50fac05ea69a9e774779716243e3eb1a58aee762b8893ad5b29c3b97ddb8e26,f50fac05ea69a9e774779716243e3eb1a58aee762b8893ad5b29c3b97ddb8e26,PASS
artifacts/shipping_friction/27a_02_burden_segments.csv,8445077,65a61902f5a23bd7e6702e9cac2e13048324e0ebc6a4ffb13d5df111bc5b644e,65a61902f5a23bd7e6702e9cac2e13048324e0ebc6a4ffb13d5df111bc5b644e,PASS
artifacts/shipping_friction/27a_03_service_performance_core.csv,21306489,97777181c7f9f1eb19e2d42bb18d733815a479688b28d8683a1c65e41bb71281,97777181c7f9f1eb19e2d42bb18d733815a479688b28d8683a1c65e41bb71281,PASS
artifacts/shipping_friction/27a_04_cost_service_core.csv,21101510,cf6835722341e3f2e567f07cd169cafd27da558e860f287d5e65178cc4e15256,cf6835722341e3f2e567f07cd169cafd27da558e860f287d5e65178cc4e15256,PASS
artifacts/spatiotemporal_logistics/01_ROUTE_SELLER_ORDER.csv,41829677,1f1c7d03db5f8ccf713bb3bed722bb2564a8f287338b05c459a5e9cff76705af,1f1c7d03db5f8ccf713bb3bed722bb2564a8f287338b05c459a5e9cff76705af,PASS
artifacts/spatiotemporal_logistics/02_ROUTE_ORDER_LEVEL.csv,15528741,108537bbd11ba9ab0aef192428581600d702c7f735b900fd95038ab1676096bc,108537bbd11ba9ab0aef192428581600d702c7f735b900fd95038ab1676096bc,PASS
artifacts/spatiotemporal_logistics/05_SPATIOTEMPORAL_CONTEXT_CORE.csv,51603462,8298cfbc9bf859dcf4e037728554dd5fca586f488e89790636a8b4b74b53f811,8298cfbc9bf859dcf4e037728554dd5fca586f488e89790636a8b4b74b53f811,PASS
artifacts/spatiotemporal_logistics/06_EXPECTED_FREIGHT_OOT.csv,58814738,cefb0ae08d6b15e8c4be77ddea720b0841a0373a7ec7e1b135c9a20d56a19846,cefb0ae08d6b15e8c4be77ddea720b0841a0373a7ec7e1b135c9a20d56a19846,PASS
artifacts/spatiotemporal_logistics/gnadmm_delivery/15_delivery_gnadmm_design.before_month_dtype_fix_20260831T034527Z.npz,3790525,9cfa49cf23cb80e9e4dde9acc741c86aca79f08aec7139365d78b840e15856fb,9cfa49cf23cb80e9e4dde9acc741c86aca79f08aec7139365d78b840e15856fb,PASS
artifacts/spatiotemporal_logistics/gnadmm_delivery/15_delivery_gnadmm_design.npz,3842081,c493e19f67cc6349847a9ab0c79c5587528e2a4f9156644062342025280e9e44,c493e19f67cc6349847a9ab0c79c5587528e2a4f9156644062342025280e9e44,PASS
