channel,window_days,current_month,train_orders,test_orders,train_first_month,train_last_month,test_month,k80_train,train_relative_error_k80,future_relative_error_k80,future_error_inflation_k80,k90_train,train_relative_error_k90,future_relative_error_k90,future_error_inflation_k90,k95_train,train_relative_error_k95,future_relative_error_k95,future_error_inflation_k95,basis_angle_dimension,basis_max_angle_deg,basis_mean_angle_deg,train_pc1_energy_pct,test_pc1_energy_pct
purchase_freight,30,2017-06,11015,3135,2016-10,2017-05,2017-06,4,0.41278668767282184,0.4165705272250773,1.009166573596614,10,0.31243505107248704,0.36075476026597314,1.1546552124277363,17,0.22242242977173182,0.2888446378176139,1.2986308894927998,10,89.47525295508173,46.48886861531273,67.39494148942323,22.093738515907923
purchase_freight,30,2017-07,14150,3872,2016-10,2017-06,2017-07,4,0.4237341659752201,0.5254471757983056,1.240039671073004,11,0.31019488377249405,0.4087739171857778,1.3177970965039658,19,0.21118986350441332,0.31708066293125087,1.5014009558494965,11,89.02616275697964,38.569574202462135,66.38506423208204,16.549749452176954
purchase_freight,30,2017-08,18022,4193,2016-10,2017-07,2017-08,5,0.43607599751243303,0.3772058468807327,0.8650002500309092,13,0.30859073608585597,0.25423385221929307,0.8238544534550132,20,0.21893585795874348,0.1920866101742247,0.8773647769038443,13,88.95857182756582,35.467926631864486,62.16999576408808,23.89616174755945
purchase_freight,30,2017-09,22215,4150,2016-10,2017-08,2017-09,4,0.44707513360788464,0.40045518188925516,0.8957223334198713,12,0.30721676171510065,0.27950222510217243,0.9097883316710776,19,0.22351093312852136,0.22778527831686568,1.0191236514854802,12,89.43110504366017,33.48799821073308,64.09683027435274,25.469425682378567
purchase_freight,30,2017-10,26365,4478,2016-10,2017-09,2017-10,4,0.44046885714945627,0.34874054382936576,0.7917484702239322,11,0.3114129257247705,0.251142362791478,0.8064609463688089,19,0.21955575244170172,0.17448385700833305,0.7947132109629579,11,87.84588616801277,35.79866588222919,63.866853548612895,31.251846143736106
purchase_freight,30,2017-11,30843,7288,2016-10,2017-10,2017-11,4,0.4258249239167193,0.6734210993948772,1.5814506422047327,11,0.300920479728254,0.49075597408068333,1.6308493676597224,18,0.2214904341904822,0.2914152473380938,1.315701278040189,5,89.6300509727624,62.54977159217636,63.8303423075577,37.315438067995636
purchase_freight,30,2017-12,38131,5513,2016-10,2017-11,2017-12,5,0.39596878831831184,0.7062027437129306,1.7834808311841677,8,0.2854601972439739,0.6725354633235099,2.3559693078636625,11,0.22014140180651776,0.5837273759691592,2.651601975725571,8,89.8556865886729,70.68973070469755,52.59684698029355,22.886043705855933
purchase_freight,30,2018-01,43644,7069,2016-10,2017-12,2018-01,9,0.4408252481955199,0.4295695781478967,0.9744668208236772,15,0.3053521606323469,0.24667204071102827,0.8078280507339484,20,0.2075996060542398,0.17830482098185482,0.8588880507570371,10,83.96480748137391,35.39385725438886,42.42453576116138,39.78596903328511
purchase_freight,30,2018-02,50713,6555,2016-10,2018-01,2018-02,9,0.43851948716845174,0.33366360219427166,0.7608866012973763,15,0.30034624790738607,0.20171339941988575,0.6716028611154334,19,0.22321469561866772,0.1421211188109981,0.6367014430528037,13,87.61880400205254,32.3642281010992,42.073709116540385,23.577641760428126
purchase_freight,30,2018-03,57268,7003,2016-10,2018-02,2018-03,9,0.42920823870760394,0.26735427228033154,0.6229010726480144,14,0.3133650375594563,0.18529302130591305,0.5913008762847594,19,0.2170973243969094,0.14396483257190268,0.6631349924363792,14,88.34803775313817,25.569272809183314,44.47305193530878,22.146282797861865
purchase_freight,30,2018-04,64271,6798,2016-10,2018-03,2018-04,8,0.4382550108483582,0.3561305974682065,0.8126104406172602,14,0.3017189199063187,0.23372303659085658,0.7746383178868124,19,0.21033248396133936,0.1808185961208819,0.8596798398202614,13,89.6228237441539,35.280455833428526,48.52891594172901,28.124807820649824
purchase_freight,30,2018-05,71069,6749,2016-10,2018-04,2018-05,8,0.431826009552949,0.3244622732742184,0.7513726966333508,13,0.3158658813017076,0.2352772931342319,0.7448645360639651,19,0.20822939213582065,0.1809407541060668,0.868949153864146,11,88.82206206362811,32.22317998828183,49.93891855392702,24.22262474484394
purchase_freight,30,2018-06,77818,6096,2016-10,2018-05,2018-06,8,0.42308018770081984,0.41583733960765246,0.9828806729699923,13,0.3093790527159769,0.29965468776848725,0.9685681210084478,18,0.22192881141211984,0.22520534611629456,1.014763899663709,8,83.7026843645783,37.94420722177481,50.58042581137366,39.01018448090851
purchase_freight,30,2018-07,83914,6156,2016-10,2018-06,2018-07,7,0.4464924425608719,0.40358064566737084,0.9038913253550742,13,0.3087094500992562,0.28576674815302233,0.9256818929940196,18,0.2220414235854316,0.24087925988279643,1.0848392880624675,13,87.72751042567138,24.995565800684965,48.807440369574245,21.669911341430684
purchase_freight,30,2018-08,90070,6351,2016-10,2018-07,2018-08,7,0.44483621526706163,0.27944882557381145,0.628206103691539,13,0.30786747671411624,0.2070559039599646,0.6725488062912062,18,0.22298604778348974,0.17420587132421603,0.7812411272178013,11,89.72533957561875,27.038673176342346,48.15851616493408,29.48179700329048
purchase_freight,60,2017-05,7253,3545,2016-12,2017-04,2017-05,4,0.44541749724103386,0.4434436189019301,0.995568475977414,11,0.3139952501132084,0.32736591685795485,1.042582385370243,25,0.21798913368764203,0.2704100003371149,1.2404746776258446,11,89.97037559754725,54.20859247374338,66.00537970271658,22.678380002020436
purchase_freight,60,2017-06,10798,3135,2016-12,2017-05,2017-06,5,0.40849239156572736,0.3717423105184397,0.9100348456762517,13,0.3111370996208545,0.3346998614084781,1.0757311224419612,26,0.22230488704269358,0.27530447564223853,1.238409462358632,13,89.9299522649673,54.14760880786536,65.0871537927219,18.48434304233603
purchase_freight,60,2017-07,13933,3872,2016-12,2017-06,2017-07,5,0.4050329923743201,0.45031638321040035,1.1118017339047546,14,0.31132414856466273,0.39518052655126584,1.2693539141541599,28,0.22086540393927095,0.3165985914009738,1.4334458260743526,14,89.88571497337807,56.298085352805586,66.32582389389233,17.62871297732805
purchase_freight,60,2017-08,17805,4193,2016-12,2017-07,2017-08,5,0.4283432827529469,0.44368815451605986,1.0358237712156755,17,0.3113972807161103,0.3451337549209947,1.1083390135177216,31,0.22172189038224863,0.2800682117960296,1.2631509289100498,17,89.57303673512726,48.2640441262435,64.43711191231435,18.696630623685458
purchase_freight,60,2017-09,21998,4150,2016-12,2017-08,2017-09,5,0.43921328874572774,0.3881631713191628,0.8837691874661852,18,0.3102608993808554,0.28165276140879514,0.9077932861370881,33,0.21864853035856963,0.22529060760985484,1.0303778728372546,18,89.97577632302371,47.30623971624287,64.17230340517739,24.413001243065775
purchase_freight,60,2017-10,26148,4478,2016-12,2017-09,2017-10,5,0.43210309734908536,0.3725488612234565,0.8621758638366888,16,0.31482393109840906,0.2861754179397524,0.9090014756543345,32,0.2208671848668039,0.23639379790005186,1.0702984150525188,16,89.99399270149489,46.80930819410426,65.35043987329799,27.884654728846563
purchase_freight,60,2017-11,30626,7288,2016-12,2017-10,2017-11,4,0.4449420806834071,0.780663041582998,1.7545273317011094,15,0.3144414283304436,0.5679850268507809,1.8063301323446816,31,0.22315798127508352,0.3681370690820977,1.6496701887094982,7,89.68171743007206,64.1576133959589,65.66338115273444,34.55202356876472
purchase_freight,60,2017-12,37914,5513,2016-12,2017-11,2017-12,6,0.4120605853345064,0.7869718466857575,1.9098449953588794,10,0.30877799132212164,0.707568529320625,2.2915121841779174,20,0.22241098110507326,0.5194913706158724,2.335727166144058,10,89.49234047920356,76.14771038030565,52.908440100247475,22.805196267586656
purchase_freight,60,2018-01,43427,7069,2016-12,2017-12,2018-01,12,0.4402011515343142,0.6521321193453357,1.481441193582387,20,0.31310331387842844,0.6274441493609232,2.003952438537737,28,0.22354938634037236,0.6132571000377512,2.7432734666693146,15,89.9784991771268,71.3284601100835,42.24928142272218,25.234326334079174
purchase_freight,60,2018-02,50496,6555,2016-12,2018-01,2018-02,16,0.43912184405677357,0.31660716478363987,0.7210007178388195,28,0.3065717654685431,0.23936711945949135,0.7807865773081196,37,0.2203861784335986,0.1660823417385868,0.753596903939358,13,89.66004831108494,50.95508070768501,37.358909844250086,32.53855661046284
