previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift
2017-02,2017-03,1653,2546,ADEQUATE,total_freight,0.03862267609321818,0.012089192675530519,0.046666267949702474,17.2,16.520000000000003,-0.6799999999999962,9.48,0.07172995780590677
2017-02,2017-03,1653,2546,ADEQUATE,mean_freight,0.04768805699271339,0.011516756200402697,0.04555251241316554,16.14,16.01,-0.129999999999999,7.109999999999999,0.01828410689170169
2017-02,2017-03,1653,2546,ADEQUATE,max_freight,0.051019855351193244,0.013081965694653707,0.0485362418876577,16.21,16.05,-0.16000000000000014,7.199999999999999,0.022222222222222244
2017-02,2017-03,1653,2546,ADEQUATE,merchandise_plus_freight,0.021607028378976323,0.014740141383408458,0.051511583531085856,105.83,101.53,-4.299999999999997,117.64,0.03655219313158787
2017-02,2017-03,1653,2546,ADEQUATE,freight_price_ratio,0.026938808678928394,0.009401523806398217,0.041157289869030306,0.2322734499205087,0.229255078843603,-0.003018371076905696,0.26913776161482583,0.01121496685859122
2017-03,2017-04,2546,2303,ADEQUATE,item_count,0.010312891515182665,0.00044760515536901085,0.008983716907408243,1.0,1.0,0.0,0.0,
2017-03,2017-04,2546,2303,ADEQUATE,unique_product_count,0.001363875596535613,0.0,0.0,1.0,1.0,0.0,0.0,
2017-03,2017-04,2546,2303,ADEQUATE,unique_seller_count,0.005852027428276729,0.0,0.0,1.0,1.0,0.0,0.0,
2017-03,2017-04,2546,2303,ADEQUATE,total_price,0.030883757959067726,0.006132148189767065,0.03324258861898738,84.98499999999999,87.89,2.9050000000000153,106.1,0.027379830348727763
2017-03,2017-04,2546,2303,ADEQUATE,mean_price,0.030817926274653185,0.009506353027735594,0.04138085013682976,76.49,79.9,3.410000000000011,96.975,0.035163701985047806
2017-03,2017-04,2546,2303,ADEQUATE,max_price,0.030239596632555932,0.008809702331026695,0.0398358660875889,79.0,79.9,0.9000000000000057,98.67250000000001,0.009121082368441112
2017-03,2017-04,2546,2303,ADEQUATE,min_price,0.031169255989404232,0.009183849627001774,0.04067506240744881,75.945,79.9,3.9550000000000125,95.23250000000002,0.04152993988396831
2017-03,2017-04,2546,2303,ADEQUATE,price_range,0.002066535026037597,0.0,0.0,0.0,0.0,0.0,0.0,
2017-03,2017-04,2546,2303,ADEQUATE,total_freight,0.027022883161721856,0.018787752043862894,0.05807354789457973,16.520000000000003,16.61,0.0899999999999963,8.169999999999998,0.011015911872704568
2017-03,2017-04,2546,2303,ADEQUATE,mean_freight,0.024726619433854347,0.011841118614078522,0.04614746582709083,16.01,16.05,0.03999999999999915,6.690000000000001,0.0059790732436471065
2017-03,2017-04,2546,2303,ADEQUATE,max_freight,0.027146360207100373,0.01468232728815259,0.051395932272839985,16.05,16.05,0.0,6.690000000000001,0.0
2017-03,2017-04,2546,2303,ADEQUATE,merchandise_plus_freight,0.02565713153272875,0.006981814801400819,0.035459852739927085,101.53,103.63,2.0999999999999943,115.7575,0.018141373129170846
2017-03,2017-04,2546,2303,ADEQUATE,freight_price_ratio,0.02650168723537283,0.010293325938038911,0.04306389431590015,0.229255078843603,0.2236734693877551,-0.005581609455847902,0.2579561254182523,0.021637824830861574
2017-04,2017-05,2303,3545,ADEQUATE,item_count,0.007328149277296414,0.0,0.0,1.0,1.0,0.0,0.0,
2017-04,2017-05,2303,3545,ADEQUATE,unique_product_count,0.00601631403694336,0.0,0.0,1.0,1.0,0.0,0.0,
2017-04,2017-05,2303,3545,ADEQUATE,unique_seller_count,0.0012109059931028066,0.0,0.0,1.0,1.0,0.0,0.0,
2017-04,2017-05,2303,3545,ADEQUATE,total_price,0.03505931736797585,0.013428535628003287,0.049179289953087874,87.89,87.9,0.010000000000005116,121.34,8.241305422783185e-05
2017-04,2017-05,2303,3545,ADEQUATE,mean_price,0.03543914940162052,0.013179439231572002,0.04869371472759602,79.9,79.0,-0.9000000000000057,100.39000000000001,0.008965036358203064
2017-04,2017-05,2303,3545,ADEQUATE,max_price,0.03589553577935678,0.011175075591581492,0.044852896296012516,79.9,79.9,0.0,100.095,0.0
2017-04,2017-05,2303,3545,ADEQUATE,min_price,0.035569108056150434,0.012169689374397498,0.04678831358707488,79.9,79.0,-0.9000000000000057,100.98000000000002,0.008912655971479555
2017-04,2017-05,2303,3545,ADEQUATE,price_range,0.0082791379613395,0.0,0.0,0.0,0.0,0.0,0.0,
