channel,lag_day,orders_full_90d_support,mean,std,median,p05,p25,p75,p95,zero_pct
purchase_volume,18,96204,181.94924327470792,88.22981103143862,172.0,67.0,125.0,234.0,302.0,0.2848114423516694
purchase_volume,19,96204,181.46162321732984,87.10059954628187,172.0,66.0,125.0,234.0,301.0,0.3191135503721259
purchase_volume,20,96204,182.06121367094923,85.81635717795126,172.0,66.0,125.0,237.0,302.0,0.35445511621138415
purchase_volume,21,96204,184.28328343935803,85.31366943942137,175.0,66.0,128.0,241.0,303.0,0.40123071805746124
purchase_volume,22,96204,183.51273335828031,83.43681866444862,174.0,65.0,128.0,242.0,301.0,0.4594403559103572
purchase_volume,23,96204,179.14413122115505,81.97307777294522,169.0,65.0,123.0,236.0,300.0,0.5446758970520976
purchase_volume,24,96204,177.0069539728078,84.05263775984722,166.0,64.0,122.0,229.0,298.0,0.5841752941665627
purchase_volume,25,96204,176.26472911729243,84.05051643573776,165.0,65.0,122.0,228.0,295.0,0.6039249927237953
purchase_volume,26,96204,176.18116710323895,83.10844475907555,165.0,64.0,123.0,228.0,294.0,0.641345474200657
purchase_volume,27,96204,177.33697143569913,82.16659289633309,167.0,64.0,122.0,232.0,296.0,0.7016340276911562
purchase_volume,28,96204,179.8732485135753,81.45608742725709,171.0,64.0,125.0,237.0,298.0,0.7640014968192591
purchase_volume,29,96204,179.70618685293752,80.47569226172715,170.0,64.0,126.0,237.0,299.0,0.8440397488669911
purchase_volume,30,96204,176.3553802336701,79.58555742559123,166.0,63.0,122.0,231.0,298.0,0.89809155544468
purchase_volume,31,96204,173.94723712111764,77.84421641981929,166.0,62.0,120.0,226.0,296.0,0.9459066151095588
purchase_volume,32,96204,173.90871481435283,82.0229754119002,164.0,62.0,120.0,226.0,294.0,1.0072346264188599
purchase_volume,33,96204,174.58783418568873,82.72353689119598,164.0,61.0,121.0,227.0,294.0,1.0706415533657645
purchase_volume,34,96204,176.50831566255042,83.72957893447109,166.0,62.0,122.0,232.0,296.0,1.1350879381314707
purchase_volume,35,96204,178.83060995384807,83.3596339283264,169.0,62.0,123.0,236.0,299.0,1.2587834185688744
purchase_volume,36,96204,178.4902914639724,82.2427042105832,169.0,61.0,124.0,236.0,299.0,1.38351835682508
purchase_volume,37,96204,175.30192091804915,80.86893667903693,167.0,60.0,121.0,229.0,299.0,1.4531620306847948
purchase_volume,38,96204,173.23738098207974,79.14661092332986,166.0,59.0,118.0,226.0,297.0,1.4926614277992598
purchase_volume,39,96204,173.99671531329258,84.11749640315915,165.0,59.0,118.0,226.0,296.0,1.5228057045445096
purchase_volume,40,96204,175.04556983077626,87.1813328716361,165.0,59.0,119.0,228.0,297.0,1.6070017878674483
purchase_volume,41,96204,177.12590952559145,90.43639860252553,167.0,59.0,118.0,233.0,299.0,1.6683297991767494
purchase_volume,42,96204,180.10691863124194,90.10187055443409,170.0,59.0,122.0,237.0,302.0,1.75356534031849
purchase_volume,43,96204,180.2333374911646,88.7265661385032,170.0,58.0,123.0,237.0,302.0,1.803459315620972
purchase_volume,44,96204,176.93907737724004,88.61707890383892,166.0,57.0,120.0,231.0,302.0,1.8460770861918423
purchase_volume,45,96204,175.26072720469003,90.72611168613825,166.0,55.0,117.0,227.0,300.0,1.8679057003866784
purchase_volume,46,96204,175.01836721965822,91.96340892321003,166.0,55.0,117.0,226.0,298.0,1.8980499771319281
purchase_volume,47,96204,175.16397447091597,91.36697933451576,165.0,55.0,118.0,227.0,298.0,1.9676936509916427
purchase_volume,48,96204,176.91370421188307,91.85208655248518,167.0,55.0,118.0,232.0,300.0,2.0362978670325558
purchase_volume,49,96204,179.68819383809404,92.3583799550012,170.0,54.0,120.0,237.0,303.0,2.086191842335038
purchase_volume,50,96204,179.25856513242692,91.56844446391456,169.0,52.150000000000546,121.0,236.0,304.0,2.161032805288761
purchase_volume,51,96204,175.48598810860256,90.32818423296439,165.0,51.0,118.0,230.0,301.0,2.2036505758596316
purchase_volume,52,96204,173.92372458525634,93.74815820352097,164.0,49.0,115.0,225.0,299.0,2.256662924618519
purchase_volume,53,96204,173.37398652862666,93.19155627444387,164.0,48.150000000000546,115.0,225.0,298.0,2.3023990686457942
purchase_volume,54,96204,173.07526714065943,92.91844403345,163.0,48.0,116.0,226.0,296.0,2.353332501767078
purchase_volume,55,96204,174.2873892977423,91.52791917082804,165.0,48.0,116.0,229.0,297.0,2.3990686457943537
purchase_volume,56,96204,176.60802045652989,91.85002196958715,167.0,47.0,118.0,234.0,300.0,2.484304186936094
purchase_volume,57,96204,175.8415242609455,89.57686067871612,166.0,45.0,119.0,233.0,301.0,2.5705791858966363
purchase_volume,58,96204,172.42821504303356,89.13804501743485,163.0,44.0,116.0,226.0,299.0,2.6506174379443683
purchase_volume,59,96204,170.85267764334122,92.15769426162672,163.0,43.0,113.0,221.0,297.0,2.691156292877635
purchase_volume,60,96204,170.32784499605006,93.16010989874557,161.0,42.0,113.0,222.0,295.0,2.7784707496569787
purchase_volume,61,96204,169.77986362313416,91.27289818835051,160.0,41.0,114.0,222.0,294.0,2.854351170429504
purchase_volume,62,96204,171.03394869236206,90.99011154162497,162.0,41.0,113.0,226.0,295.0,2.938547253752443
purchase_volume,63,96204,173.36721965822628,92.16413305381666,164.0,39.0,116.0,229.0,299.0,3.0113093010685628
purchase_volume,64,96204,172.88143944118747,89.67630449418066,163.0,37.0,117.0,229.0,300.0,3.119412914223941
purchase_volume,65,96204,169.31898881543387,87.86818773466962,160.0,36.0,113.0,222.0,299.0,3.220240322647707
purchase_volume,66,96204,167.7320485634693,90.59285679074223,160.0,33.0,111.0,219.0,297.0,3.2898839965074216
purchase_volume,67,96204,167.6715936967278,92.90984941436184,158.0,32.0,111.0,219.0,296.0,3.3449752609039125
purchase_volume,68,96204,167.6019292337117,92.49429429523111,158.0,32.0,111.0,220.0,296.0,3.3834352001995756
purchase_volume,69,96204,169.09679431208681,92.92226662500184,158.0,31.0,112.0,224.0,298.0,3.516485801006195
purchase_volume,70,96204,171.6452226518648,93.18403509974935,160.0,31.0,115.0,229.0,301.0,3.606918631241944
purchase_volume,71,96204,171.46188308178455,92.53285082286621,160.0,29.0,114.0,229.0,302.0,3.724377364766538
purchase_volume,72,96204,168.70127021745458,91.23089128675593,160.0,26.0,111.0,221.0,302.0,3.814810195002287
purchase_volume,73,96204,167.2426926115338,94.64795777682092,158.0,22.0,109.0,217.0,299.0,3.857427965573157
purchase_volume,74,96204,166.38225021828615,94.49958543308975,157.0,20.0,109.0,216.0,297.0,3.934347844164484
purchase_volume,75,96204,165.92379734730363,93.71088281298834,156.0,18.0,109.0,218.0,297.0,4.021662300943827
purchase_volume,76,96204,167.3291027400108,93.50520205140835,157.0,16.0,110.0,222.0,300.0,4.087148143528336
purchase_volume,77,96204,169.68990894349508,94.81652743002584,158.0,13.0,111.0,227.0,303.0,4.215001455240946
purchase_volume,78,96204,169.14452621512618,92.68589152975098,158.0,12.0,111.0,227.0,304.0,4.326223441852729
purchase_volume,79,96204,165.80018502349174,92.5088326636562,156.0,11.0,108.0,219.0,303.0,4.446800548833728
purchase_volume,80,96204,164.05436364392332,92.85370831559666,155.0,7.0,107.0,215.0,300.0,4.481102656854185
purchase_volume,81,96204,163.4032784499605,92.8205980007984,154.0,6.0,106.0,216.0,298.0,4.553864704170304
purchase_volume,82,96204,164.1353270134298,95.84883190623135,153.0,6.0,107.0,217.0,299.0,4.62974512494283
purchase_volume,83,96204,166.2504365722839,97.63984720220336,155.0,5.0,107.0,222.0,301.0,4.731611991185398
purchase_volume,84,96204,168.59769864038918,97.14235905544203,157.0,4.0,109.0,227.0,305.0,4.8719387967236285
purchase_volume,85,96204,168.07568292378696,94.68991571201036,158.0,1.0,110.0,226.0,304.0,4.929108976757723
purchase_volume,86,96204,165.2089725998919,94.4823563786521,156.0,0.0,106.0,218.0,304.0,5.023699638268679
purchase_volume,87,96204,163.71158163901708,95.44163458141671,156.0,1.0,105.0,215.0,302.0,4.994594819342231
purchase_volume,88,96204,163.53008190927613,97.46579418205441,154.0,0.0,105.0,216.0,299.0,5.062159577564342
purchase_volume,89,96204,163.63299862791567,97.26963337808853,154.0,0.0,105.0,217.0,299.0,5.122448131054842
purchase_volume,90,96204,165.44706041328843,98.20126842771894,155.0,0.0,106.0,222.0,302.0,5.193131262733358
purchase_freight,1,96204,4788.106687247995,2603.361948607579,4546.320000000531,1684.86749999997,3147.3799999990442,6020.862499999057,8120.8080000010295,0.002078915637603426
purchase_freight,2,96204,4579.425549665364,2240.491860463911,4392.279999999184,1609.4499999999825,3077.6399999985006,5876.790000000037,7846.000999999826,0.03430210802045653
purchase_freight,3,96204,4500.385004989468,2259.8512151899363,4334.164999999455,1593.170499999629,3005.8700000000536,5728.11999999918,7739.072499999131,0.039499397114465096
purchase_freight,4,96204,4466.53395991857,2207.936604924675,4320.679999999702,1595.7619999998176,2991.857499999649,5696.77000000095,7594.8019999982835,0.04469668620847366
purchase_freight,5,96204,4441.565009251231,2158.6875775254925,4281.910000000149,1598.7720000000088,2988.9300000001676,5696.11999999918,7561.2200000034645,0.0478150596648788
purchase_freight,6,96204,4460.064598769333,2108.9875465555024,4288.930000000051,1595.8715000000072,3030.557499999588,5755.640000002459,7597.122000001019,0.05197289094008565
purchase_freight,7,96204,4531.137981269008,2132.971943651183,4397.869999998948,1596.6299999996554,3068.7200000000084,5853.805000003078,7676.062500000382,0.06236746912810278
purchase_freight,8,96204,4495.265933121324,2080.644888449865,4377.019999998971,1568.0700000000506,3052.6999999997934,5825.035000002652,7662.429999999236,0.07068313167851649
purchase_freight,9,96204,4382.128498607173,2050.7634384792814,4198.35999999952,1521.9330000000039,2970.6699999998673,5697.20999999973,7587.690000001108,0.08419608332293875
purchase_freight,10,96204,4324.169608020496,2125.7789494934996,4133.25999999803,1503.2829999999788,2877.4649999999674,5563.939999999711,7485.158499999752,0.09355120369215418
purchase_freight,11,96204,4303.716926011422,2130.8775926889966,4127.605000000447,1488.4500000003027,2835.862499999348,5535.007500002044,7409.685499997947,0.11018252879298158
purchase_freight,12,96204,4279.218809612939,2083.652635958294,4076.9549999997253,1491.1500000000015,2843.7475000002305,5527.6200000045355,7344.385500001727,0.12473493825620556
