current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks_statistic,rank_psi,rank_js_distance,rank_normalized_wasserstein,rank_robust_median_shift,consensus_rank_score
2018-04,64320,6798,ADEQUATE,total_freight,0.16275863620994757,0.27311622552212644,0.2191077230760895,2.3327036577647897,0.24298996435049894,16.74,18.23,1.490000000000002,9.6,0.15520833333333356,12.0,9.0,9.0,12.0,14.0,11.2
2018-08,90119,6351,ADEQUATE,max_freight,0.12507833005401314,0.23214913655685165,0.2020172317918046,1.552266075177362,0.19849949810452194,16.39,18.14,1.75,7.820000000000002,0.22378516624040914,14.0,16.0,16.0,18.0,9.0,14.6
2018-08,90119,6351,ADEQUATE,mean_freight,0.12758265711928418,0.2147248373232256,0.19439088337550212,1.585935899095435,0.20384780194028732,16.32,18.01,1.6900000000000013,7.779999999999999,0.2172236503856043,13.0,17.0,17.0,17.0,10.0,14.8
2018-05,71118,6749,ADEQUATE,total_freight,0.10508246650033397,0.24064344136112395,0.20568770244789278,1.8996232156131847,0.1974660307290213,16.79,17.99,1.1999999999999993,9.62,0.12474012474012468,18.0,12.0,12.0,19.0,15.0,15.2
2018-03,57317,7003,ADEQUATE,total_freight,0.17578858423243326,0.19531844770117485,0.18632611833655455,2.233179442378617,0.2350715202503807,16.54,18.23,1.6900000000000013,9.500000000000002,0.17789473684210536,11.0,20.0,20.0,14.0,13.0,15.6
2017-02,1017,1653,ADEQUATE,total_freight,0.06340666027799635,0.15656488282184883,0.16559633411510505,1.2539886360188943,0.14513757361329793,17.78,17.2,-0.5800000000000018,8.64,0.06712962962962984,21.0,25.0,25.0,32.0,25.0,25.6
2018-05,71118,6749,ADEQUATE,max_freight,0.11527253912368363,0.23787230517004035,0.20358858364628324,1.7340067619134758,0.23527907217279193,16.16,16.41,0.25,7.369999999999997,0.03392130257801901,15.0,13.0,14.0,13.0,76.0,26.2
2018-08,90119,6351,ADEQUATE,total_freight,0.1053264744235402,0.12657227398189616,0.15031955144974424,1.1948261116611758,0.11771685829174147,17.09,18.33,1.2399999999999984,10.149999999999999,0.12216748768472893,17.0,30.0,30.0,44.0,16.0,27.4
2017-05,7519,3545,ADEQUATE,mean_freight,0.05662326806880022,0.3507286821688081,0.2462161543281623,1.0431617871303331,0.1547717785059841,16.05,15.87,-0.1800000000000015,6.740000000000002,0.02670623145400615,27.0,3.0,1.0,28.0,93.0,30.4
2018-05,71118,6749,ADEQUATE,mean_freight,0.11486354523074269,0.20428839348631783,0.19022713466667918,1.7437684481629185,0.2494661585354676,16.12,16.32,0.1999999999999993,6.99,0.028612303290414774,16.0,19.0,19.0,11.0,88.0,30.6
2017-02,1017,1653,ADEQUATE,max_price,0.05040268252770064,0.058603302500316985,0.10253895323030582,18.40587791572331,0.16522332060792916,69.99,76.9,6.910000000000011,111.4,0.06202872531418322,39.0,38.0,37.0,26.0,27.0,33.4
2017-05,7519,3545,ADEQUATE,total_freight,0.054895177632742695,0.1290185008498796,0.15078921171329676,0.9370247341431719,0.10434573876872738,16.97,16.46,-0.509999999999998,8.98,0.05679287305122472,33.0,29.0,29.0,53.0,30.0,34.8
