purchase_month,orders,feature,mean,std,p05,p25,median,p75,p95,min,max
2017-12,5513,max_freight,19.305260293850896,13.911929370838852,8.08,13.32,15.8,19.19,43.70799999999998,7.78,177.94
2017-12,5513,merchandise_plus_freight,152.92550154181026,182.99950051049228,33.054,63.73,105.86,176.32999999999998,406.57199999999966,13.78,3297.4
2017-12,5513,freight_price_ratio,0.2872930784652369,0.27858181176272706,0.0557046979865771,0.125,0.207582061950994,0.3445876288659794,0.7695952495017755,0.012837037037037,4.2716666666666665
2018-01,7069,item_count,1.136935917385769,0.5216650392018188,1.0,1.0,1.0,1.0,2.0,1.0,12.0
2018-01,7069,unique_product_count,1.0414485782996181,0.2265784620312648,1.0,1.0,1.0,1.0,1.0,1.0,6.0
2018-01,7069,unique_seller_count,1.0159852878766444,0.14133812688241942,1.0,1.0,1.0,1.0,1.0,1.0,5.0
2018-01,7069,total_price,130.80280096194653,173.45888358811138,18.92,45.9,87.0,149.9,379.924,4.99,3690.0
2018-01,7069,mean_price,119.353706895971,161.89976933138306,18.49,40.0,79.9,139.89,339.9,4.78,3690.0
2018-01,7069,max_price,119.99116282359599,162.16533488329148,18.494,40.9,79.9,139.9,343.299999999997,4.78,3690.0
2018-01,7069,min_price,118.7405941434432,161.92857728389475,18.0,39.99,79.0,139.0,339.85999999999996,4.78,3690.0
2018-01,7069,price_range,1.2505686801527798,13.439109341456037,0.0,0.0,0.0,0.0,0.0,0.0,537.1
2018-01,7069,total_freight,21.678095911727258,17.76727130969069,8.27,13.64,16.32,23.23,50.441999999999936,7.78,436.24
2018-01,7069,mean_freight,19.263585571475723,13.416650536159045,8.204,13.22,15.79,19.74,42.74399999999998,7.663333333333333,218.12
2018-01,7069,max_freight,19.423273447446597,13.499073641174034,8.27,13.37,15.91,19.98,43.20199999999999,7.78,218.12
2018-01,7069,merchandise_plus_freight,152.48089687367377,182.82845111423418,31.956000000000003,61.01,104.52,173.27,417.78399999999976,14.08,3826.8
2018-01,7069,freight_price_ratio,0.3030194957291008,0.28477841717275065,0.05986367155455198,0.1311612903225806,0.2147142857142857,0.3735336194563662,0.8436613233766598,0.012087139845397,3.747076023391813
2018-02,6555,item_count,1.1469107551487414,0.5913016295838996,1.0,1.0,1.0,1.0,2.0,1.0,20.0
2018-02,6555,unique_product_count,1.0271548436308162,0.17344559581498722,1.0,1.0,1.0,1.0,1.0,1.0,4.0
2018-02,6555,unique_seller_count,1.0079328756674295,0.09209484376437692,1.0,1.0,1.0,1.0,1.0,1.0,3.0
2018-02,6555,total_price,126.0773653699466,163.73098498797572,19.0,44.9,84.9,149.0,378.2999999999993,2.99,3300.0
2018-02,6555,mean_price,114.99008072949172,149.82678259084585,18.799000000000003,39.99,74.99,134.9,343.04999999999745,2.99,3099.9
2018-02,6555,max_price,115.42685430968727,150.29178264545953,18.9,39.99,75.0,135.0,343.04999999999745,2.99,3099.9
2018-02,6555,min_price,114.57938062547674,149.72242008910973,18.663000000000004,39.99,74.9,134.9,339.9269999999999,2.99,3099.9
2018-02,6555,price_range,0.8474736842105264,14.806074051952141,0.0,0.0,0.0,0.0,0.0,0.0,845.9100000000001
2018-02,6555,total_freight,21.316747520976353,20.108911790370765,8.11,13.86,16.25,22.240000000000002,49.31599999999991,7.78,711.33
2018-02,6555,mean_freight,18.710359868709983,12.728272725774648,8.11,13.16,15.76,18.68,39.06499999999989,2.83,237.11
2018-02,6555,max_freight,18.822915331807778,12.854689155744536,8.11,13.25,15.79,18.87,39.71399999999994,2.83,237.11
2018-02,6555,merchandise_plus_freight,147.39411289092297,173.30657215321577,32.379999999999995,59.425,102.83,169.56,409.8379999999999,14.84,3358.24
2018-02,6555,freight_price_ratio,0.30284538214034074,0.2897610353151463,0.05819571966591053,0.13465110644012368,0.2205,0.360381861575179,0.798941798941799,0.0146044448310355,4.280349344978166
2018-03,7003,item_count,1.144795087819506,0.5407128945174966,1.0,1.0,1.0,1.0,2.0,1.0,11.0
