channel,current_month,train_orders,test_orders,raw_k90_train,smooth_k90_train,k90_delta_smooth_minus_raw,raw_future_relative_error_k90,smooth_internal_future_error_k90,smooth_end_to_end_raw_error_k90,smooth_test_distortion_from_raw,end_to_end_error_delta_smooth_minus_raw,end_to_end_error_ratio_smooth_over_raw,smooth_lower_end_to_end_error,raw_basis_mean_angle_deg,smooth_basis_mean_angle_deg,smooth_negative_cell_pct_test
purchase_freight,2018-02,50713,6555,15,11,-4,0.20171339941988575,0.1980616081285204,0.2802460972257573,0.10062308248025087,0.07853269780587152,1.3893281161872553,False,32.3642281010992,32.57244879131352,0.0
purchase_freight,2018-03,57268,7003,14,10,-4,0.18529302130591305,0.18234121166412773,0.2546274547367107,0.09107084706296045,0.06933443343079768,1.3741880451953379,False,25.569272809183314,33.121428247005475,0.0
purchase_freight,2018-04,64271,6798,14,10,-4,0.23372303659085658,0.231429849950002,0.3240238999936793,0.11994623322597874,0.09030086340282273,1.3863584211465587,False,35.280455833428526,37.92927968219015,0.0
purchase_freight,2018-05,71069,6749,13,10,-3,0.2352772931342319,0.21623476886052953,0.3026018697502607,0.11373261128444172,0.06732457661602881,1.2861499115327648,False,32.22317998828183,35.81326065753785,0.0
purchase_freight,2018-06,77818,6096,13,9,-4,0.29965468776848725,0.31162171186141374,0.37982958132528843,0.12077192431334308,0.08017489355680119,1.2675576149128833,False,37.94420722177481,33.353619994119974,0.0
purchase_freight,2018-07,83914,6156,13,9,-4,0.28576674815302233,0.25270860532659756,0.35548672654584296,0.14200910937346323,0.06971997839282063,1.2439751260195149,False,24.995565800684965,18.952193603594075,0.0
purchase_freight,2018-08,90070,6351,13,9,-4,0.20705590395996462,0.18422940474269123,0.25427780857559484,0.09572561092190758,0.04722190461563022,1.2280635505315551,False,27.038673176342346,23.661979488631122,0.0
purchase_volume,2017-04,5167,2303,8,5,-3,0.3421960531257288,0.32025537618613115,0.37268659417203787,0.10665653862861725,0.03049054104630905,1.0891025503298435,False,46.91513700527341,37.76930808213924,0.0
purchase_volume,2017-05,7470,3545,9,5,-4,0.2679583646399413,0.2538986885396034,0.31172886266620836,0.0986098865412263,0.043770498026267035,1.1633481309123601,False,37.68641411980113,28.30600113457435,0.0
purchase_volume,2017-06,11015,3135,8,5,-3,0.33018772128502827,0.285014504315265,0.35873852617229374,0.11283563767708941,0.02855080488726547,1.0864684028108347,False,42.13146480115298,43.55075747598651,0.0
purchase_volume,2017-07,14150,3872,8,5,-3,0.4076447078812427,0.37767496530876643,0.45944075436600307,0.13406971553552946,0.05179604648476038,1.1270617414708346,False,33.16656029100777,25.398253905298294,0.0
purchase_volume,2017-08,18022,4193,10,6,-4,0.2173906572543945,0.2391120822360911,0.30249065138592457,0.09621361682557034,0.08509999413153008,1.3914611382399222,False,36.912638867474854,46.223862362098565,0.0
purchase_volume,2017-09,22215,4150,9,5,-4,0.330396543138634,0.33322162347003803,0.3776461241001754,0.10019649324077179,0.047249580961541415,1.1430087025508482,False,35.62200193650421,40.294655006081854,0.0
purchase_volume,2017-10,26365,4478,9,6,-3,0.2524499172480122,0.2441556196292186,0.3121433899788489,0.10662049720976198,0.059693472730836694,1.23645669359516,False,30.213178552912122,38.25675163468535,0.0
purchase_volume,2017-11,30843,7288,8,5,-3,0.5701323522724918,0.5806059537475395,0.6298178570769994,0.14129462065124607,0.05968550480450763,1.1046871039094819,False,62.025445113853024,62.40763712163518,0.0
purchase_volume,2017-12,38131,5513,7,6,-1,0.6819734402196592,0.643674469775456,0.6843054546269577,0.14541611420578818,0.002332014407298466,1.0034195091330058,False,73.08041795856602,71.04729686338493,0.0
purchase_volume,2018-01,43644,7069,15,11,-4,0.23092044653245905,0.21020777346493996,0.27745300525706107,0.09931927923028032,0.04653255872460202,1.2015090453155746,False,39.89088979431295,50.41548602181289,0.0
purchase_volume,2018-02,50713,6555,15,10,-5,0.1599743789450551,0.16908560564204153,0.2303606352329567,0.07984638494513324,0.0703862562879016,1.4399845572276078,False,32.55295319304,34.775811469265456,0.0
purchase_volume,2018-03,57268,7003,14,10,-4,0.16480217263426292,0.1815381213556386,0.24439018229304307,0.08306360808500618,0.07958800965878016,1.4829305851167738,False,25.785820804675183,32.88129992810081,0.0
