channel,current_month,train_orders,test_orders,pve_policy,k_train,train_cumulative_pve,future_relative_error,future_variance_captured,train_before_test
purchase_freight,2017-04,5167,2303,0.85,5,0.8644010046416061,0.39904155213862885,0.840765839666794,True
purchase_freight,2017-04,5167,2303,0.9,9,0.9050468366035518,0.3619102208284259,0.86902099205992,True
purchase_freight,2017-04,5167,2303,0.95,15,0.950117005436553,0.29832411808854375,0.9110027205666926,True
purchase_freight,2017-04,5167,2303,0.99,25,0.9910120752113607,0.1598531707633437,0.9744469637969053,True
purchase_freight,2017-05,7470,3545,0.8,4,0.8124863608845553,0.35541370000562444,0.8736811018483119,True
purchase_freight,2017-05,7470,3545,0.85,6,0.8603024542747671,0.3258706827632611,0.8938082981154061,True
purchase_freight,2017-05,7470,3545,0.9,10,0.9008493335683189,0.2953023830659001,0.9127965025556004,True
purchase_freight,2017-05,7470,3545,0.95,17,0.9508276641678205,0.22344044760266424,0.9500743663751211,True
purchase_freight,2017-05,7470,3545,0.99,27,0.9925071950217548,0.09361358705780072,0.9912364963181716,True
purchase_freight,2017-06,11015,3135,0.8,4,0.8296071504800999,0.4165705272250773,0.8264689958474212,True
purchase_freight,2017-06,11015,3135,0.85,5,0.8535375856459289,0.4052205994312347,0.8357962657965908,True
purchase_freight,2017-06,11015,3135,0.9,10,0.9023843388613321,0.3607547602659728,0.8698560029454405,True
purchase_freight,2017-06,11015,3135,0.95,17,0.9505282627344388,0.28884463781761355,0.9165687752040117,True
purchase_freight,2017-06,11015,3135,0.99,27,0.9929017378546832,0.11637838682652628,0.9864560710796554,True
purchase_freight,2017-07,14150,3872,0.8,4,0.8204493565852845,0.5254471757983056,0.7239052654455845,True
purchase_freight,2017-07,14150,3872,0.85,6,0.8514181634121466,0.49205204585838896,0.7578847841665739,True
purchase_freight,2017-07,14150,3872,0.9,11,0.9037791340813688,0.4087739171857778,0.8329038846285949,True
purchase_freight,2017-07,14150,3872,0.95,19,0.9553988415529873,0.31708066293125087,0.8994598531950785,True
purchase_freight,2017-07,14150,3872,0.99,27,0.9912635521282498,0.19645465620515135,0.9614055680553157,True
purchase_freight,2017-08,18022,4193,0.8,5,0.8098377243935367,0.37720584688073255,0.8577157490789893,True
purchase_freight,2017-08,18022,4193,0.85,8,0.8557002178906757,0.32795774299196445,0.8924437188116165,True
purchase_freight,2017-08,18022,4193,0.9,13,0.9047717576019897,0.2542338522192932,0.9353651483857386,True
purchase_freight,2017-08,18022,4193,0.95,20,0.952067090099869,0.1920866101742246,0.9631027341917755,True
purchase_freight,2017-08,18022,4193,0.99,28,0.9926681792119887,0.07627014973904012,0.9941828642587844,True
purchase_freight,2017-09,22215,4150,0.8,4,0.800123824909492,0.40045518188925516,0.8396356472980435,True
purchase_freight,2017-09,22215,4150,0.85,7,0.8508625974233766,0.3752619758468015,0.8591784494835546,True
purchase_freight,2017-09,22215,4150,0.9,12,0.905617861321287,0.27950222510217243,0.9218785061629345,True
purchase_freight,2017-09,22215,4150,0.95,19,0.9500428627720175,0.22778527831686474,0.9481138669821084,True
purchase_freight,2017-09,22215,4150,0.99,28,0.9933045198320376,0.07548361180360545,0.9943022243490826,True
purchase_freight,2017-10,26365,4478,0.8,4,0.805987185881452,0.34874054382936576,0.8783800330895982,True
purchase_freight,2017-10,26365,4478,0.85,7,0.8522642158850006,0.3009636654655601,0.9094208720695345,True
purchase_freight,2017-10,26365,4478,0.9,11,0.9030219896915388,0.25114236279147806,0.9369275136115136,True
purchase_freight,2017-10,26365,4478,0.95,19,0.9517952715697584,0.17448385700833424,0.9695553836434951,True
purchase_freight,2017-10,26365,4478,0.99,28,0.9936581376618165,0.07715777091586766,0.9940466783872944,True
purchase_freight,2017-11,30843,7288,0.8,4,0.8186731341713199,0.6734210993948768,0.5465040228897955,True
purchase_freight,2017-11,30843,7288,0.85,7,0.8634648273359026,0.5731704931905516,0.6714755857356999,True
purchase_freight,2017-11,30843,7288,0.9,11,0.9094468648801171,0.49075597408068306,0.75915857390412,True
purchase_freight,2017-11,30843,7288,0.95,18,0.9509419875621111,0.29141524733808355,0.9150771536188835,True
purchase_freight,2017-11,30843,7288,0.99,27,0.9902485061969433,0.12661951556530818,0.9839674982780067,True
purchase_freight,2017-12,38131,5513,0.8,5,0.8432087186777282,0.7062027437129306,0.5012776847723289,True
purchase_freight,2017-12,38131,5513,0.85,6,0.8754272507015033,0.6985889274769665,0.5119735104065816,True
purchase_freight,2017-12,38131,5513,0.9,8,0.9185124757894317,0.6725354633235099,0.5476960505722319,True
purchase_freight,2017-12,38131,5513,0.95,11,0.9515377632106615,0.5837273759691591,0.6592623505441599,True
purchase_freight,2017-12,38131,5513,0.99,24,0.9908775743465552,0.20085180461967772,0.9596585525810188,True
purchase_freight,2018-01,43644,7069,0.8,9,0.8056731005533583,0.4295695781478966,0.8154699775298382,True
purchase_freight,2018-01,43644,7069,0.85,12,0.8620988093933531,0.32386598654180215,0.8951108227613053,True
purchase_freight,2018-01,43644,7069,0.9,15,0.9067600579971575,0.2466720407110282,0.9391529043314568,True
purchase_freight,2018-01,43644,7069,0.95,20,0.9569024035661245,0.17830482098185477,0.9682073908146287,True
purchase_freight,2018-01,43644,7069,0.99,27,0.991327708148359,0.10388694615927417,0.9892075024177001,True
purchase_freight,2018-02,50713,6555,0.8,9,0.8077006593735182,0.33366360219427166,0.8886686005707428,True
purchase_freight,2018-02,50713,6555,0.85,12,0.8662845212675953,0.2518073733979009,0.9365930467024501,True
purchase_freight,2018-02,50713,6555,0.9,15,0.9097921313679551,0.20171339941988578,0.9593117044944737,True
purchase_freight,2018-02,50713,6555,0.95,19,0.9501751996598656,0.14212111881099784,0.9798015875879102,True
