channel,current_month,train_orders,test_orders,train_first_month,train_last_month,window_days,smooth_edf_ratio,smooth_lambda,raw_k80_train,raw_k90_train,raw_k95_train,raw_train_relative_error_k90,raw_future_relative_error_k90,raw_future_error_inflation_k90,raw_pc1_energy_pct_train,raw_basis_angle_dimension,raw_basis_mean_angle_deg,raw_basis_max_angle_deg,smooth_k80_train,smooth_k90_train,smooth_k95_train,smooth_train_relative_error_k90,smooth_internal_future_error_k90,smooth_internal_error_inflation_k90,smooth_end_to_end_raw_error_k90,smooth_test_distortion_from_raw,smooth_pc1_energy_pct_train,smooth_basis_angle_dimension,smooth_basis_mean_angle_deg,smooth_basis_max_angle_deg,smooth_negative_cells_test,smooth_negative_cell_pct_test,smooth_affected_orders_test,k90_delta_smooth_minus_raw,end_to_end_error_delta_smooth_minus_raw,end_to_end_error_ratio_smooth_over_raw,smooth_lower_end_to_end_error
purchase_volume,2018-02,50713,6555,2016-10,2018-01,30,0.75,0.0840662845049379,9,15,19,0.29729078398821973,0.1599743789450551,0.5381074273442467,42.27997449224825,11,32.55295319304,88.4739886270588,6,10,14,0.31371936233748626,0.16908560564204153,0.538970895459574,0.2303606352329567,0.07984638494513324,46.516593717983476,9,34.775811469265456,87.43325075527514,0,0.0,0,-5,0.0703862562879016,1.4399845572276078,False
purchase_volume,2018-03,57268,7003,2016-10,2018-02,30,0.75,0.0840662845049379,9,14,19,0.3055822942496517,0.16480217263426292,0.5393053712059129,45.37510584778618,14,25.785820804675183,89.10013614282529,6,10,14,0.30143171528268353,0.1815381213556386,0.6022528889682084,0.24439018229304307,0.08306360808500618,49.62035969558612,10,32.88129992810081,89.09979149777179,0,0.0,0,-4,0.07958800965878016,1.4829305851167738,False
purchase_volume,2018-04,64271,6798,2016-10,2018-03,30,0.75,0.0840662845049379,8,13,19,0.31490071011485693,0.2350390032259201,0.7463908326538609,48.56854556742435,11,35.05494144744048,89.25717057534929,6,10,13,0.2915330117868636,0.23067076719975269,0.7912337809907902,0.31617976196322967,0.11162675656084167,52.839642862654856,9,37.712009620593605,88.09194676826414,0,0.0,0,-3,0.08114075873730955,1.345222527425871,False
purchase_volume,2018-05,71069,6749,2016-10,2018-04,30,0.75,0.0840662845049379,8,13,18,0.3110029998883595,0.20863797688844593,0.6708551909896063,49.18740309330674,9,36.398514694433075,88.20681695571315,6,10,13,0.28861343599945566,0.19993544258523124,0.6927447500594128,0.28018992204641313,0.10466373755554914,53.479594856722116,7,34.4710202493444,89.1875068979731,0,0.0,0,-3,0.0715519451579672,1.3429478478705936,False
purchase_volume,2018-06,77818,6096,2016-10,2018-05,30,0.75,0.0840662845049379,7,13,18,0.30390149575944964,0.28635574939153613,0.9422650213548087,49.857232444891366,8,38.449721314801074,88.2195499387395,6,9,13,0.3116798567815408,0.3342572328648712,1.0724377132242944,0.39574151351234127,0.11921962941410455,54.117095523934125,5,38.798935521017725,82.478398906155,0,0.0,0,-4,0.10938576412080514,1.381992554203063,False
purchase_volume,2018-07,83914,6156,2016-10,2018-06,30,0.75,0.0840662845049379,7,13,18,0.3030605653440621,0.3147438805642661,1.038551090297545,48.21564093560149,10,27.05586826241399,85.56580753134661,6,9,13,0.31213867151619146,0.2961074202623648,0.9486406116359887,0.38563561306206434,0.1354552765177078,52.31002031625971,7,24.898717398223166,76.6225360133111,0,0.0,0,-4,0.07089173249779823,1.2252362535872183,False
purchase_volume,2018-08,90070,6351,2016-10,2018-07,30,0.75,0.0840662845049379,7,13,18,0.30334349392349447,0.19343153723145046,0.6376650269619277,47.200806108077074,8,27.23696368011705,86.79156451836695,6,9,13,0.311743493617911,0.19863268780130833,0.6371670680150998,0.2673459588127359,0.09499918262421984,51.235716467701245,6,25.185430238587557,82.89767138834819,0,0.0,0,-4,0.07391442158128542,1.3821218744327257,False
purchase_freight,2017-04,5167,2303,2016-10,2017-03,30,0.75,0.0840662845049379,4,9,15,0.30814471177751607,0.361910220828431,1.1744813621521248,66.85345995848593,9,48.44192507346574,89.03005493856972,3,5,10,0.29946452914280475,0.3321503184720245,1.1091474486904356,0.3976977116635582,0.12077839521559829,70.95993792114767,5,41.104745614986804,83.92214246856234,0,0.0,0,-4,0.03578749083512722,1.0988849962656702,False
purchase_freight,2017-05,7470,3545,2016-10,2017-04,30,0.75,0.0840662845049379,4,10,17,0.314881988102974,0.2953023830659003,0.9378192282288603,64.53465780461521,10,47.661381670508206,89.64449976378492,3,6,11,0.29901060773495153,0.2547505996606136,0.8519784685579757,0.3229279540161965,0.10963474227488151,68.92923136560188,6,32.690209512168444,89.57853892684757,0,0.0,0,-4,0.02762557095029622,1.0935501117988988,False
purchase_freight,2017-06,11015,3135,2016-10,2017-05,30,0.75,0.0840662845049379,4,10,17,0.31243505107248704,0.36075476026597314,1.1546552124277363,67.39494148942323,10,46.48886861531273,89.47525295508173,3,5,10,0.31094858556175287,0.3202706334954726,1.029979386839399,0.405264803159496,0.13654486134960012,71.97254402379613,5,41.96141080111114,85.55356412786075,0,0.0,0,-5,0.04451004289352284,1.1233803342212505,False
purchase_freight,2017-07,14150,3872,2016-10,2017-06,30,0.75,0.0840662845049379,4,11,19,0.31019488377249405,0.4087739171857778,1.3177970965039658,66.38506423208206,11,38.569574202462135,89.02616275697964,3,6,11,0.3016082672408454,0.41037178855240475,1.3606118701802947,0.4982872526128394,0.15388627725931192,71.64058606834574,6,34.99332343190829,80.93988289218849,0,0.0,0,-5,0.08951333542706158,1.218980056367882,False
purchase_freight,2017-08,18022,4193,2016-10,2017-07,30,0.75,0.0840662845049379,5,13,20,0.30859073608585597,0.254233852219293,0.823854453455013,62.169995764088085,13,35.467926631864486,88.95857182756582,4,7,13,0.30902073688855375,0.2763684387823332,0.8943362234036857,0.3549542640087271,0.11834301354713464,68.01171205327958,7,48.86637261176454,89.88839388795226,0,0.0,0,-6,0.10072041178943408,1.396172307150333,False
purchase_freight,2017-09,22215,4150,2016-10,2017-08,30,0.75,0.0840662845049379,4,12,19,0.30721676171510065,0.27950222510217243,0.9097883316710776,64.09683027435274,12,33.48799821073308,89.43110504366017,3,7,12,0.3046206454653487,0.31637475255099523,1.0385860487810685,0.3701736065341209,0.11527573124241895,69.92089341892593,7,38.49149580726886,88.6418085955729,0,0.0,0,-5,0.09067138143194847,1.324403075498964,False
purchase_freight,2017-10,26365,4478,2016-10,2017-09,30,0.75,0.0840662845049379,4,11,19,0.3114129257247705,0.251142362791478,0.8064609463688089,63.86685354861289,11,35.79866588222919,87.84588616801277,3,7,12,0.2978819299370246,0.23005397842356964,0.7722992075155599,0.2984755175279565,0.1004912648605516,69.31156149486148,7,28.414205255146666,87.99293931575193,0,0.0,0,-4,0.04733315473647848,1.1884714080506558,False
purchase_freight,2017-11,30843,7288,2016-10,2017-10,30,0.75,0.0840662845049379,4,11,18,0.300920479728254,0.49075597408068333,1.6308493676597224,63.8303423075577,5,62.54977159217636,89.6300509727624,3,6,11,0.30956880463335784,0.5338201627702158,1.7243990827901836,0.5885993305684326,0.13784436998354616,68.99423269092277,4,61.75122063227927,89.35147053588794,0,0.0,0,-5,0.09784335648774928,1.199372726274063,False
purchase_freight,2017-12,38131,5513,2016-10,2017-11,30,0.75,0.0840662845049379,5,8,11,0.2854601972439739,0.6725354633235099,2.3559693078636625,52.59684698029354,8,70.68973070469755,89.8556865886729,3,6,8,0.2910511180512918,0.6474951096432104,2.2246783107326964,0.6884806049255402,0.1465573528826952,57.745526811179246,6,70.53094260538191,89.22075976786334,0,0.0,0,-2,0.01594514160203031,1.0237089974753646,False
purchase_freight,2018-01,43644,7069,2016-10,2017-12,30,0.75,0.0840662845049379,9,15,20,0.3053521606323469,0.24667204071102827,0.8078280507339484,42.42453576116138,10,35.39385725438886,83.96480748137391,6,11,15,0.29543260718909486,0.22461417767445613,0.7602890547917392,0.30359146971438244,0.1108035311401038,46.95296189892477,7,36.86487176411007,87.28295992203658,0,0.0,0,-4,0.05691942900335417,1.2307494146449869,False
purchase_freight,2018-02,50713,6555,2016-10,2018-01,30,0.75,0.0840662845049379,9,15,19,0.30034624790738607,0.20171339941988575,0.6716028611154334,42.07370911654038,13,32.3642281010992,87.61880400205254,6,11,14,0.2890484002899841,0.1980616081285204,0.6852195270059188,0.2802460972257573,0.10062308248025087,46.38829367564764,10,32.57244879131352,87.70434139334199,0,0.0,0,-4,0.07853269780587152,1.3893281161872553,False
purchase_freight,2018-03,57268,7003,2016-10,2018-02,30,0.75,0.0840662845049379,9,14,19,0.3133650375594563,0.18529302130591305,0.5913008762847594,44.47305193530878,14,25.569272809183314,88.34803775313817,6,10,14,0.30860606015038783,0.18234121166412773,0.5908542806167527,0.2546274547367107,0.09107084706296045,48.84078167608544,10,33.121428247005475,88.25521026757643,0,0.0,0,-4,0.06933443343079768,1.3741880451953379,False
purchase_freight,2018-04,64271,6798,2016-10,2018-03,30,0.75,0.0840662845049379,8,14,19,0.3017189199063187,0.23372303659085658,0.7746383178868124,48.52891594172901,13,35.280455833428526,89.6228237441539,6,10,14,0.2966270366078281,0.231429849950002,0.7802048410576155,0.3240238999936793,0.11994623322597874,52.98721232866795,9,37.92927968219015,88.54802550088006,0,0.0,0,-4,0.09030086340282273,1.3863584211465587,False
purchase_freight,2018-05,71069,6749,2016-10,2018-04,30,0.75,0.0840662845049379,8,13,19,0.3158658813017076,0.2352772931342319,0.7448645360639651,49.93891855392702,11,32.22317998828183,88.82206206362811,6,10,14,0.291830476952119,0.21623476886052953,0.7409602010005536,0.3026018697502607,0.11373261128444172,54.46622760201766,8,35.81326065753785,89.20773813627953,0,0.0,0,-3,0.06732457661602881,1.2861499115327648,False
purchase_freight,2018-06,77818,6096,2016-10,2018-05,30,0.75,0.0840662845049379,8,13,18,0.3093790527159769,0.29965468776848725,0.9685681210084478,50.580425811373665,8,37.94420722177481,83.7026843645783,6,9,13,0.3128655169146787,0.31162171186141374,0.9960244738201554,0.37982958132528843,0.12077192431334308,55.08004351628455,5,33.353619994119974,69.93786371582128,0,0.0,0,-4,0.08017489355680119,1.2675576149128833,False
purchase_freight,2018-07,83914,6156,2016-10,2018-06,30,0.75,0.0840662845049379,7,13,18,0.3087094500992562,0.28576674815302233,0.9256818929940196,48.807440369574245,13,24.995565800684965,87.72751042567138,6,9,13,0.3123866692949133,0.25270860532659756,0.8089609133993622,0.35548672654584296,0.14200910937346323,53.106302308498655,8,18.952193603594075,65.46071975704733,0,0.0,0,-4,0.06971997839282063,1.2439751260195149,False
purchase_freight,2018-08,90070,6351,2016-10,2018-07,30,0.75,0.0840662845049379,7,13,18,0.30786747671411624,0.20705590395996462,0.6725488062912063,48.15851616493408,11,27.038673176342346,89.72533957561875,6,9,13,0.310156913168787,0.18422940474269123,0.5939877427218068,0.25427780857559484,0.09572561092190758,52.42345901093165,7,23.661979488631122,76.36041430581498,0,0.0,0,-4,0.04722190461563022,1.2280635505315551,False
