channel,scheme,current_month,k,sse,energy,fold_rows,relative_error
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,3,50009806.73969681,227268137.4217535,10,0.46909230817780156
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,4,42153926.859952115,227268137.4217535,10,0.4306750794240688
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,5,37053641.356164955,227268137.4217535,10,0.4037812707422375
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,6,37011950.336104035,227268137.4217535,10,0.403554048931775
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,7,34718608.620745726,227268137.4217535,10,0.3908515870152059
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,8,35233839.762836844,227268137.4217535,10,0.393741064510193
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,9,35112649.70580558,227268137.4217535,10,0.3930633267828165
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,10,34835210.10787916,227268137.4217535,10,0.39150736899457333
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,11,34747473.998467326,227268137.4217535,10,0.39101403210025004
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,12,34887512.70199743,227268137.4217535,10,0.3918011690115924
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,13,34949969.96288,227268137.4217535,10,0.39215172259824094
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,14,34828578.12495318,227268137.4217535,10,0.3914700993215855
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,15,35019449.273942225,227268137.4217535,10,0.3925413209834909
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,16,35362840.60990691,227268137.4217535,10,0.39446120350664704
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,17,35815175.22025727,227268137.4217535,10,0.39697601130609866
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,18,36887922.766122594,227268137.4217535,10,0.40287732385933417
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,19,37072671.69109317,227268137.4217535,10,0.40388494619998
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,20,37784495.00507344,227268137.4217535,10,0.40774395838813565
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,21,38529796.160330296,227268137.4217535,10,0.41174570661221527
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,22,39094469.35823116,227268137.4217535,10,0.41475190073338547
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,23,40003062.81000036,227268137.4217535,10,0.4195438369092607
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,24,40757134.35360709,227268137.4217535,10,0.423479648729663
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,25,40975498.846222386,227268137.4217535,10,0.42461257171668954
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,26,41199299.17816099,227268137.4217535,10,0.4257705689776845
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-05,27,41268962.81648275,227268137.4217535,10,0.4261303833412951
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,0,231962450.52892554,231962450.52892554,10,1.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,1,72822487.5474511,231962450.52892554,10,0.5603042425544988
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,2,68133318.9083747,231962450.52892554,10,0.5419646100815023
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,3,56280612.69625504,231962450.52892554,10,0.4925729564978077
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,4,44650227.997029364,231962450.52892554,10,0.43873572212959994
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,5,44794812.157734,231962450.52892554,10,0.43944549416853756
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,6,44732941.96485468,231962450.52892554,10,0.43914191021742893
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,7,44491361.162067905,231962450.52892554,10,0.43795450926246754
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,8,45476073.72264333,231962450.52892554,10,0.44277453625516094
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,9,45620496.77835324,231962450.52892554,10,0.4434770612984737
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,10,45609446.33439519,231962450.52892554,10,0.443423347337007
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,11,45290816.13641743,231962450.52892554,10,0.44187174226741005
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,12,45043001.03420915,231962450.52892554,10,0.4406612022383208
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,13,44869841.01495779,231962450.52892554,10,0.4398133637611133
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,14,45091379.4464114,231962450.52892554,10,0.44089778469939095
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,15,45233871.83875194,231962450.52892554,10,0.441593871473331
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,16,45488110.0222918,231962450.52892554,10,0.44283312766345884
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,17,45681036.59397795,231962450.52892554,10,0.44377121765675925
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,18,46199580.94063742,231962450.52892554,10,0.4462828255444823
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,19,46081203.72120035,231962450.52892554,10,0.44571070341991964
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,20,45744196.837948784,231962450.52892554,10,0.44407789870850345
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,21,45173850.89785315,231962450.52892554,10,0.44130079819914975
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,22,44380594.1091788,231962450.52892554,10,0.4374089970524516
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,23,43896726.83191083,231962450.52892554,10,0.4350179976386562
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,24,43924281.16254862,231962450.52892554,10,0.43515450837840025
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,25,43781677.15405505,231962450.52892554,10,0.43444755058589657
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,26,44215256.366285704,231962450.52892554,10,0.4365934638237127
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-06,27,44272231.22672767,231962450.52892554,10,0.4368746658970394
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,0,214240888.99208373,214240888.99208373,10,1.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,1,107099505.87566353,214240888.99208373,10,0.7070376694305441
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,2,105344838.04903622,214240888.99208373,10,0.7012218642336657
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,3,93577745.53309178,214240888.99208373,10,0.660899020341216
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,4,73617773.06659254,214240888.99208373,10,0.5861923643337742
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,5,67651270.44388288,214240888.99208373,10,0.5619359246452189
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,6,65993134.80179115,214240888.99208373,10,0.5550066648917398
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,7,65227326.67001575,214240888.99208373,10,0.5517770193274929
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,8,65163050.22654529,214240888.99208373,10,0.5515050857084164
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,9,68383934.92050613,214240888.99208373,10,0.5649706184139467
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,10,71267230.32665478,214240888.99208373,10,0.5767581759120087
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,11,72093326.33784744,214240888.99208373,10,0.5800912986763419
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,12,70995666.2923646,214240888.99208373,10,0.5756582575623009
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,13,70385048.1929986,214240888.99208373,10,0.5731773566375975
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,14,69907990.55677293,214240888.99208373,10,0.5712316057381263
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,15,69983109.3354905,214240888.99208373,10,0.571538428315
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,16,69767140.44759701,214240888.99208373,10,0.5706558589541422
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,17,69875056.91867308,214240888.99208373,10,0.5710970363490224
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,18,69983826.58259895,214240888.99208373,10,0.5715413571162395
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,19,70052725.9614403,214240888.99208373,10,0.5718226303690569
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,20,69913930.30537456,214240888.99208373,10,0.5712558726354885
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,21,70496606.5304556,214240888.99208373,10,0.5736314118511742
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,22,71710395.15516916,214240888.99208373,10,0.5785486398915355
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,23,73140943.04550302,214240888.99208373,10,0.5842908656324577
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,24,73777626.95116808,214240888.99208373,10,0.5868284492755648
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,25,73949339.22921209,214240888.99208373,10,0.5875109535175981
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,26,73889176.0822047,214240888.99208373,10,0.5872719135180803
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-07,27,73567930.79228869,214240888.99208373,10,0.5859938925084137
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,0,352980850.95975107,352980850.95975107,10,1.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,1,96786466.59209675,352980850.95975107,10,0.5236387105451905
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,2,92707053.4459353,352980850.95975107,10,0.5124845959370793
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,3,78785691.54399838,352980850.95975107,10,0.4724415686388627
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,4,53139510.40231226,352980850.95975107,10,0.3880013185742507
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,5,54579423.98313068,352980850.95975107,10,0.39322298992173127
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,6,52141248.82957733,352980850.95975107,10,0.3843396067731011
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,7,49029263.17220496,352980850.95975107,10,0.37269375053569376
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,8,48385533.19451655,352980850.95975107,10,0.37023902426481986
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,9,47362365.593810715,352980850.95975107,10,0.366303543608423
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,10,46365856.498244494,352980850.95975107,10,0.36242952552615376
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,11,44955781.16183546,352980850.95975107,10,0.3568758839927755
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,12,43112720.314089246,352980850.95975107,10,0.3494838734269815
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,13,37742476.292544305,352980850.95975107,10,0.32699387855247014
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,14,36950516.73587097,352980850.95975107,10,0.3235449944124975
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,15,36668794.416994065,352980850.95975107,10,0.32230923022847174
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,16,36600921.89361322,352980850.95975107,10,0.3220108010958478
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,17,36683354.01364524,352980850.95975107,10,0.32237321142474096
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,18,36716637.044852816,352980850.95975107,10,0.3225194238595076
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,19,36847543.60443063,352980850.95975107,10,0.32309385478013
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,20,37169884.75790844,352980850.95975107,10,0.32450398499566974
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,21,37226662.09072686,352980850.95975107,10,0.3247517317987521
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,22,37336693.0257317,352980850.95975107,10,0.32523131242462466
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,23,37395103.19858132,352980850.95975107,10,0.32548561177070984
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,24,37358077.15509447,352980850.95975107,10,0.3253244351995945
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,25,37306694.40856764,352980850.95975107,10,0.32510063065596184
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,26,37008597.45597796,352980850.95975107,10,0.3237991768877327
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-08,27,37134218.04958624,352980850.95975107,10,0.3243482572220608
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,0,316774155.1925708,316774155.1925708,10,1.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,1,120305105.41929746,316774155.1925708,10,0.6162645105821869
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,2,97319642.15293792,316774155.1925708,10,0.5542751153226995
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,3,74334314.08187939,316774155.1925708,10,0.4844174715228004
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,4,76063629.02024668,316774155.1925708,10,0.4900198243149788
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,5,76347097.29972544,316774155.1925708,10,0.4909320599235417
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,6,74875067.08588775,316774155.1925708,10,0.48617625234187184
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,7,75560823.69043547,316774155.1925708,10,0.4883975437029324
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,8,77300589.40508023,316774155.1925708,10,0.49398815112625233
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,9,79295076.54725882,316774155.1925708,10,0.500320434043381
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,10,77150920.16564295,316774155.1925708,10,0.4935096900029672
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,11,68268137.96099445,316774155.1925708,10,0.4642310214175286
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,12,67058149.56507279,316774155.1925708,10,0.4600986001011796
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,13,66334414.33185567,316774155.1925708,10,0.45760902268790493
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,14,64063082.41658562,316774155.1925708,10,0.4497063757349316
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,15,63869632.47403444,316774155.1925708,10,0.44902687793867185
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,16,63682019.422266066,316774155.1925708,10,0.4483668987316654
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,17,63134890.30388051,316774155.1925708,10,0.44643665394752385
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,18,62897268.913179755,316774155.1925708,10,0.44559573300311717
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,19,62667810.16881459,316774155.1925708,10,0.4447821900487658
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,20,62655579.36668235,316774155.1925708,10,0.44473878412472473
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,21,62460480.42253187,316774155.1925708,10,0.44404582334816334
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,22,62259731.910762355,316774155.1925708,10,0.44333166554518616
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,23,62044906.34127922,316774155.1925708,10,0.44256615249577347
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,24,61798247.202615485,316774155.1925708,10,0.44168556694243005
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,25,61601780.91154772,316774155.1925708,10,0.4409829142960127
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,26,61395250.96511303,316774155.1925708,10,0.4402430603383615
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-09,27,61481709.382602334,316774155.1925708,10,0.4405529322494989
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,0,335252391.6458299,335252391.6458299,10,1.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,1,127755424.43719192,335252391.6458299,10,0.6173105968606007
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,2,92345814.10160165,335252391.6458299,10,0.5248348494017555
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,3,57882438.35283506,335252391.6458299,10,0.41551572737201103
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,4,55941472.38444969,335252391.6458299,10,0.40848960003245516
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,5,54652527.6925835,335252391.6458299,10,0.4037561812115042
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,6,53322099.489948824,335252391.6458299,10,0.39881150465876747
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,7,52124257.40024401,335252391.6458299,10,0.3943065560101585
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,8,50693428.8892542,335252391.6458299,10,0.38885697333268937
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,9,45350450.25618674,335252391.6458299,10,0.3677941855975439
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,10,46908659.503371164,335252391.6458299,10,0.37405939649359826
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,11,49172127.487001926,335252391.6458299,10,0.38297776213852613
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,12,48790871.773082554,335252391.6458299,10,0.3814901654370273
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,13,49402349.32979961,335252391.6458299,10,0.38387325812026707
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,14,50862362.48498771,335252391.6458299,10,0.3895043587145837
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,15,50920502.838139944,335252391.6458299,10,0.38972691476554183
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,16,50949160.206895985,335252391.6458299,10,0.3898365658525634
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,17,51000274.31458166,335252391.6458299,10,0.3900320661607777
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,18,51010195.69277944,335252391.6458299,10,0.3900700019122155
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,19,50360842.592046276,335252391.6458299,10,0.3875792799013429
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,20,49925799.079013586,335252391.6458299,10,0.3859015917608567
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,21,49890449.48134868,335252391.6458299,10,0.3857649501667408
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,22,49842655.99406292,335252391.6458299,10,0.38558013052612206
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,23,49876894.510292724,335252391.6458299,10,0.3857125414591458
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,24,49852303.60245962,335252391.6458299,10,0.3856174454127355
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,25,49577330.382295564,335252391.6458299,10,0.38455248870270503
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,26,50399829.629919,335252391.6458299,10,0.38772927386433204
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-10,27,50575216.31137443,335252391.6458299,10,0.3884033187294977
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,0,3944264086.4004216,3944264086.4004216,10,1.0
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,1,3118113931.408292,3944264086.4004216,10,0.889125359295376
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,2,3392282588.21825,3944264086.4004216,10,0.9273913034352627
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,3,3618740787.6870055,3944264086.4004216,10,0.9578461216903867
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,4,3121339500.1989956,3944264086.4004216,10,0.8895851233970627
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,5,2939325186.416314,3944264086.4004216,10,0.8632584247024256
purchase_volume,HOLDOUT_03_CONTIGUOUS,2017-11,6,2939976464.7188907,3944264086.4004216,10,0.8633540572551192
