test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite,baseline_k0_average_precision,delta_ap_vs_k0,comparison_vs_k0
2018-01,2018-01-01,4,8,21,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0586780455370153,1.0292682478937007,0.4899381997753125,0.2290801304407831,0.0544721340057602,0.0620347394540942,0.0794044665012407,0.1786600496277915,0,65,True,0.0802215338454625,-0.021543488308447205,WORSE
2018-01,2018-01-01,5,10,23,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0570443184196086,1.0006111337672785,0.4782511749934298,0.2311922835906618,0.0545973417043953,0.0620347394540942,0.0893300248138957,0.1712158808933002,0,71,True,0.0802215338454625,-0.023177215425853902,WORSE
2018-01,2018-01-01,6,12,25,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0562009966950422,0.985818475526684,0.4715704821102457,0.230967699230819,0.0546176432185344,0.0521091811414392,0.0967741935483871,0.1563275434243176,0,65,True,0.0802215338454625,-0.024020537150420303,WORSE
2018-01,2018-01-01,10,20,33,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0551648325238342,0.9676431789354444,0.4570439674240377,0.2364731086368484,0.0550983497344572,0.0595533498759305,0.0818858560794044,0.1563275434243176,0,61,True,0.0802215338454625,-0.0250567013216283,WORSE
2018-01,2018-01-01,15,30,43,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0572200355428236,1.0036933777970736,0.4574824728130381,0.2404974439145887,0.0552821645697638,0.0595533498759305,0.0918114143920595,0.1637717121588089,0,82,True,0.0802215338454625,-0.023001498302638902,WORSE
2018-01,2018-01-01,20,40,53,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0555664113231306,0.974687249735013,0.4449303491143159,0.2453701237230713,0.0557383378936846,0.0446650124069478,0.0893300248138957,0.1662531017369727,0,80,True,0.0802215338454625,-0.0246551225223319,WORSE
2018-01,2018-01-01,23,46,59,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0550092734341246,0.9649145258209112,0.4455769398279778,0.2464424720068437,0.055817273625909,0.0397022332506203,0.086848635235732,0.1612903225806451,0,88,True,0.0802215338454625,-0.0252122604113379,WORSE
2018-01,2018-01-01,25,50,63,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0556574683617361,0.9762844760523884,0.4459994386535427,0.2448116304802709,0.0556193559527525,0.0372208436724565,0.0918114143920595,0.1612903225806451,0,96,True,0.0802215338454625,-0.024564065483726402,WORSE
2018-01,2018-01-01,27,54,67,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0559454703478191,0.9813363024534332,0.4456647898040424,0.2463370250203866,0.0558773698330117,0.0620347394540942,0.0967741935483871,0.1588089330024814,0,79,True,0.0802215338454625,-0.024276063497643406,WORSE
2018-01,2018-01-01,30,60,73,41148,1763,4.28453387770973,7069,403,0.0570094780025463,0.0563738025278675,0.9888496527779046,0.4464956421200433,0.248011164164181,0.0560888713638815,0.0595533498759305,0.0942928039702233,0.1612903225806451,0,78,True,0.0802215338454625,-0.023847731317595003,WORSE
2018-02,2018-02-01,0,0,13,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1830184698021229,1.2955573105323064,0.6110688938453941,0.4643791892257255,0.1292112832253239,0.0669546436285097,0.1252699784017278,0.2408207343412527,0,13,True,0.1830184698021229,0.0,TIE
2018-02,2018-02-01,1,2,15,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1201784982375124,0.8507236025344426,0.4336628198541417,0.5313864543833372,0.1340189303302871,0.0421166306695464,0.0658747300215982,0.1090712742980561,0,37,True,0.1830184698021229,-0.06283997156461052,WORSE
2018-02,2018-02-01,2,4,17,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.126640924339297,0.8964700421642462,0.4357040848705811,0.5362539253353155,0.1343218666261977,0.0583153347732181,0.0896328293736501,0.1436285097192224,0,38,True,0.1830184698021229,-0.05637754546282592,WORSE
2018-02,2018-02-01,3,6,19,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1266341836147447,0.896422325696168,0.420740499580428,0.5203506320931665,0.1333938441620247,0.0615550755939524,0.1036717062634989,0.1641468682505399,0,41,True,0.1830184698021229,-0.0563842861873782,WORSE
2018-02,2018-02-01,4,8,21,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1300209830042384,0.9203969153269796,0.4544938909772633,0.5254858258353546,0.1337314971571713,0.0572354211663066,0.0885529157667386,0.1457883369330453,0,63,True,0.1830184698021229,-0.05299748679788452,WORSE
2018-02,2018-02-01,5,10,23,47745,2385,4.995287464655985,6555,926,0.1412662090007627,0.1285020853116957,0.9096448911643258,0.4482005021051505,0.5274808179161038,0.1338402448025659,0.0583153347732181,0.0874730021598272,0.1414686825053995,0,75,True,0.1830184698021229,-0.0545163844904272,WORSE
