current_month,historical_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,wasserstein,normalized_wasserstein,historical_median,current_median,median_delta,reference_iqr,robust_median_shift
2017-06,11064,3135,ADEQUATE,max_freight,0.04907809110629069,0.3542225035275775,0.23828590267498628,0.8564262334499243,0.1277771329280006,16.05,16.11,0.05999999999999872,6.702500000000002,0.008951883625512674
2017-06,11064,3135,ADEQUATE,merchandise_plus_freight,0.029949022131348868,0.013673350727322526,0.04963387833909224,11.212377421319028,0.09534131860563362,103.83,100.33,-3.5,117.60249999999999,0.029761272081800984
2017-06,11064,3135,ADEQUATE,freight_price_ratio,0.02026011340716216,0.00758709252527264,0.03697486496408081,0.012867863545321498,0.04948495294241169,0.2246065808297567,0.2338461538461538,0.009239573016397079,0.2600358852578182,0.035531915171001516
2017-07,14199,3872,ADEQUATE,item_count,0.00581050478470424,0.0,0.0,0.010979340880134414,,1.0,1.0,0.0,0.0,
2017-07,14199,3872,ADEQUATE,unique_product_count,0.005708992427007065,0.0,0.0,0.006836468957481134,,1.0,1.0,0.0,0.0,
2017-07,14199,3872,ADEQUATE,unique_seller_count,0.009556603625327953,0.0,0.0,0.010519233981673537,,1.0,1.0,0.0,0.0,
2017-07,14199,3872,ADEQUATE,total_price,0.03167845817916404,0.011326149494987177,0.04516285903719217,17.763576423508425,0.1677233162450045,84.9,84.5,-0.4000000000000057,105.91,0.0037767916155226674
2017-07,14199,3872,ADEQUATE,mean_price,0.03705748542412779,0.02247757845372973,0.06354648706743657,18.787027924823413,0.19150894928464235,77.9,75.9,-2.0,98.1,0.020387359836901122
2017-07,14199,3872,ADEQUATE,max_price,0.03729203153638461,0.021587213056589484,0.06228004737879356,18.64163199403947,0.18810930367345582,79.0,77.8,-1.2000000000000028,99.1,0.012108980827447052
2017-07,14199,3872,ADEQUATE,min_price,0.03752712331621544,0.020364462151237744,0.06049868406806508,18.7821531658686,0.1949367220121287,75.99,74.99,-1.0,96.35,0.010378827192527244
2017-07,14199,3872,ADEQUATE,price_range,0.006717331537141158,0.0,0.0,0.5197876822020391,,0.0,0.0,0.0,0.0,
2017-07,14199,3872,ADEQUATE,total_freight,0.03974897254433596,0.059104591653514664,0.1029900754478318,0.8947835176671386,0.09508857786048233,16.67,16.46,-0.21000000000000085,9.409999999999998,0.02231668437832103
2017-07,14199,3872,ADEQUATE,mean_freight,0.046190014399803525,0.19201329609282483,0.18011800484639562,0.8413320662347564,0.1263261360712848,16.05,16.0,-0.05000000000000071,6.659999999999998,0.007507507507507616
2017-07,14199,3872,ADEQUATE,max_freight,0.04346606005893794,0.18719028779788482,0.17770516238489512,0.8325214763843753,0.12425693677378735,16.05,16.11,0.05999999999999872,6.700000000000001,0.008955223880596823
2017-07,14199,3872,ADEQUATE,merchandise_plus_freight,0.026723996684669404,0.008294552494173695,0.03866146273709595,17.428573594040166,0.1520618906254868,102.86,102.03,-0.8299999999999983,114.61499999999998,0.007241635039043742
2017-07,14199,3872,ADEQUATE,freight_price_ratio,0.026942554737005686,0.013038257354983488,0.048441745198351406,0.017775076963050522,0.06833486422766437,0.2251818181818181,0.2243739565943238,-0.0008078615874942963,0.2601172500150303,0.003105759373696346
2017-08,18071,4193,ADEQUATE,item_count,0.0055799062613123285,0.0,0.0,0.015212921900409127,,1.0,1.0,0.0,0.0,
2017-08,18071,4193,ADEQUATE,unique_product_count,0.0018771123568386283,0.0,0.0,0.004212126524330673,,1.0,1.0,0.0,0.0,
2017-08,18071,4193,ADEQUATE,unique_seller_count,0.004812601348025636,0.0,0.0,0.0050129003963392815,,1.0,1.0,0.0,0.0,
2017-08,18071,4193,ADEQUATE,total_price,0.0245633122433582,0.008819843302833835,0.0398515084535379,8.321263623308022,0.07932567801056264,84.9,79.99,-4.910000000000011,104.9,0.04680648236415644
2017-08,18071,4193,ADEQUATE,mean_price,0.034101186824321505,0.010087378149528141,0.04263394997411885,8.210475846713356,0.08464408089395213,76.99,69.9,-7.089999999999989,97.0,0.07309278350515452
2017-08,18071,4193,ADEQUATE,max_price,0.033508102622426206,0.011292892924892162,0.045106864523685564,8.213797344240831,0.08292576824069492,78.8,69.99,-8.810000000000002,99.04999999999998,0.08894497728419994
