channel,window_days,orders_full_support,edf_ratio_target,lambda,effective_df,effective_df_ratio,distortion_relative_to_centered_raw,roughness_ratio,roughness_reduction_pct,max_row_sum_relative_error,max_first_moment_relative_error,negative_cells,negative_cell_pct,minimum_smoothed_value,adjacent_lag_correlation_mean,numerical_rank,pc1_energy_pct,k80,k90,k95,k99,relative_error_k90
purchase_freight,30,96421,0.5,0.489610051353089,14.999999999999998,0.49999999999999994,0.26677348030227066,0.3087546856965976,69.12453143034024,7.407211551065458e-16,1.2767653843274705e-15,7394,0.25561513224989024,-49.357229572740756,0.9355680844388001,30,59.0886927749947,4,6,9,13,0.315433957522618
purchase_freight,30,96421,0.25,8.082724730027447,7.499999999999987,0.24999999999999956,0.4469632414788344,0.06904244962950608,93.09575503704939,2.1893777805270976e-15,1.4044419227602176e-14,6167,0.21319698682513838,-60.98213441652922,0.9858305737154797,30,68.23572035494061,2,3,5,7,0.3140790673163972
purchase_freight,60,96204,1.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.7869075945164921,60,46.15549514125588,11,23,34,53,0.31256515375604327
purchase_freight,60,96204,0.75,0.0796644862161485,45.0,0.75,0.12520431583032485,0.6319618713587178,36.80381286412822,6.491439072680672e-16,5.157834263299463e-16,27343,0.47369825232492063,-10.946190207982744,0.873667196105457,60,49.86201714247915,8,16,24,39,0.3061380455509341
purchase_freight,60,96204,0.5,0.4436081877127176,30.0,0.5,0.25689991810601126,0.3233548985229687,67.66451014770313,8.134196708944128e-16,6.269661097187985e-16,30237,0.5238347677851233,-14.956367545395448,0.9375391989571469,60,54.38639834741244,6,11,15,26,0.2967425705955016
purchase_freight,60,96204,0.25,6.214243690235012,15.000000000000002,0.25000000000000006,0.43085671826561245,0.08031242412997616,91.96875758700239,1.1979162892287132e-15,2.8519490540828876e-15,29398,0.5092996826188794,-17.7667517093063,0.9859411200751095,60,62.28014563576566,3,6,8,14,0.2907879975828544
purchase_freight,90,96204,1.0,0.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.7957743503948085,90,46.75566910970808,14,32,50,78,0.3155145768424363
purchase_freight,90,96204,0.75,0.07828642764753907,67.5,0.75,0.12210608385281206,0.6350198483881926,36.49801516118074,6.34345539791525e-16,6.424141097120417e-16,57852,0.6681634859257412,-37.27990406810238,0.8790973650142233,90,50.34867723935123,10,22,34,58,0.31134706348349184
purchase_freight,90,96204,0.5,0.42975651743751475,45.000000000000014,0.5000000000000001,0.25068914001170894,0.3271791866721337,67.28208133278663,8.410946506263323e-16,9.53478932127548e-16,68181,0.7874585949302177,-47.95824120075134,0.9403832490378055,90,54.68196753811405,7,14,22,38,0.31271334199180745
purchase_freight,90,96204,0.25,5.722443537177487,22.499999999999975,0.24999999999999972,0.4191446415847448,0.08407040920828575,91.59295907917142,1.203428553217889e-15,1.7398680000618005e-15,83294,0.9620066617696654,-43.62013411163217,0.9864106838024524,90,62.129320206660566,4,7,12,20,0.315981522361192
