previous_month,current_month,previous_orders,current_orders,sample_support,feature,ks_statistic,psi,js_distance,previous_median,current_median,median_delta,reference_iqr,robust_median_shift,rank_ks,rank_psi,rank_js,rank_robust_shift,consensus_rank_score
2017-01,2017-02,750,1653,ADEQUATE,total_price,0.0551796733212343,0.05099173620303894,0.09562736141193964,82.65,84.9,2.25,129.85,0.01732768579129765,24.0,17.0,17.0,101.0,39.75
2018-03,2018-04,7003,6798,ADEQUATE,mean_freight,0.0482831780957827,0.028778768306769117,0.07192087720026484,18.0,18.23,0.23000000000000043,8.94,0.025727069351230474,32.0,25.0,25.0,81.0,40.75
2018-03,2018-04,7003,6798,ADEQUATE,freight_price_ratio,0.04355293114618175,0.013360867879683871,0.04903225804365848,0.2332727272727272,0.2156559705070343,-0.01761675676569288,0.26134049156233674,0.06740921263435679,40.0,53.0,53.0,20.0,41.5
2018-04,2018-05,6798,6749,ADEQUATE,total_freight,0.059367124921604786,0.02009637954221267,0.06014463908932217,18.23,17.99,-0.240000000000002,10.237499999999999,0.02344322344322364,22.0,30.0,30.0,84.0,41.5
2018-02,2018-03,6555,7003,ADEQUATE,max_price,0.035752575473538606,0.014209769539803326,0.050593024650151495,75.0,79.9,4.900000000000006,95.00999999999999,0.05157351857699196,56.0,42.0,42.0,33.0,43.25
2018-02,2018-03,6555,7003,ADEQUATE,mean_price,0.034899394211895585,0.014813940107369068,0.051653473848394936,74.99,79.59,4.6000000000000085,94.91,0.048466968707196384,61.0,37.0,37.0,41.0,44.0
2017-01,2017-02,750,1653,ADEQUATE,merchandise_plus_freight,0.054006049606775575,0.0407198333331212,0.08551463944812245,104.10499999999999,105.83,1.7250000000000085,141.065,0.01222840534505376,25.0,20.0,20.0,113.0,44.5
2017-04,2017-05,2303,3545,ADEQUATE,max_freight,0.06970462884310463,0.39146357294366635,0.25906619600385866,16.05,16.05,0.0,6.914999999999999,0.0,15.0,2.0,2.0,161.0,45.0
2017-02,2017-03,1653,2546,ADEQUATE,total_freight,0.03862267609321818,0.012089192675530519,0.046666267949702474,17.2,16.520000000000003,-0.6799999999999962,9.48,0.07172995780590677,45.0,61.0,61.0,17.0,46.0
2017-01,2017-02,750,1653,ADEQUATE,freight_price_ratio,0.06761282516636417,0.05218187949323051,0.09678141911682164,0.23370818930184833,0.2322734499205087,-0.0014347393813396447,0.29687843943156056,0.004832750347538779,16.0,16.0,16.0,137.0,46.25
2018-02,2018-03,6555,7003,ADEQUATE,min_price,0.03441604464382875,0.014765074457214304,0.05156801759508497,74.9,79.0,4.099999999999994,94.91,0.0431988199346749,64.0,38.0,38.0,46.0,46.5
2018-03,2018-04,7003,6798,ADEQUATE,max_freight,0.04755266697998589,0.03267692038168671,0.07661977953214437,18.14,18.23,0.08999999999999986,9.14,0.009846827133479195,35.0,22.0,22.0,120.0,49.75
2018-02,2018-03,6555,7003,ADEQUATE,freight_price_ratio,0.04420934125104725,0.01130726963839722,0.04513558814306422,0.2205,0.2332727272727272,0.012772727272727186,0.2257307551350553,0.05658390353182148,39.0,68.0,68.0,26.0,50.25
2017-11,2017-12,7288,5513,ADEQUATE,total_freight,0.04726914808486793,0.010725327274057,0.043959438928521236,16.77,16.21,-0.5599999999999987,9.959999999999999,0.05622489959839345,37.0,74.0,74.0,27.0,53.0
2017-10,2017-11,4478,7288,ADEQUATE,max_price,0.036919181420669134,0.013927938432919207,0.050086506286292874,79.13499999999999,75.9,-3.234999999999985,98.1,0.03297655453618741,51.0,47.0,47.0,70.0,53.75
2017-11,2017-12,7288,5513,ADEQUATE,min_price,0.048689998871044915,0.010689394156087894,0.043888258050142716,74.9,79.9,5.0,97.91,0.051067306710244106,31.0,75.0,75.0,34.0,53.75
2017-10,2017-11,4478,7288,ADEQUATE,mean_price,0.034537798893872707,0.013581918535451236,0.049460617353369755,79.0,75.0,-4.0,98.1,0.040774719673802244,62.0,49.0,49.0,57.0,54.25
