test_month,fit_cutoff,k,functional_dimensions,total_model_dimensions,train_rows,train_positive,train_positive_pct,test_rows,test_positive,test_prevalence,average_precision,ap_lift_over_prevalence,roc_auc,log_loss,brier_score,recall_at_05pct,recall_at_10pct,recall_at_20pct,convergence_warning,n_iter,coef_finite
2017-09,2017-09-01,27,54,67,20814,605,2.906697415201307,4150,182,0.04385542168674699,0.041359712910119535,0.9430923548186596,0.4854827632045374,0.19905662187639608,0.042719065978082234,0.027472527472527472,0.054945054945054944,0.14835164835164835,0,30,True
2017-09,2017-09-01,30,60,73,20814,605,2.906697415201307,4150,182,0.04385542168674699,0.044046053088154465,1.0043468149222035,0.5054266549982276,0.1983175775431723,0.04268493679360512,0.038461538461538464,0.06593406593406594,0.19230769230769232,0,33,True
2017-10,2017-10-01,0,0,13,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04952538683116404,1.1859608675398534,0.5689828356079196,0.17551122129210836,0.040178108097649955,0.053475935828877004,0.11764705882352941,0.2620320855614973,0,17,True
2017-10,2017-10-01,1,2,15,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.043446584179797035,1.0403946735675462,0.5204475976954627,0.18811924179405679,0.04068058094877062,0.0481283422459893,0.0962566844919786,0.20855614973262032,0,39,True
2017-10,2017-10-01,2,4,17,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04198949940011998,1.005502557827472,0.519576479561126,0.18965605878188393,0.040725307377154324,0.0374331550802139,0.0855614973262032,0.18181818181818182,0,50,True
2017-10,2017-10-01,3,6,19,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04435866498442281,1.0622358385039858,0.5199029930821506,0.18848411769625345,0.04067797019935073,0.0427807486631016,0.11764705882352941,0.23529411764705882,0,53,True
2017-10,2017-10-01,4,8,21,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04322519048186688,1.0350930640524059,0.5136232158590858,0.18542343985818424,0.04057741956276104,0.0427807486631016,0.12299465240641712,0.22994652406417113,0,39,True
2017-10,2017-10-01,5,10,23,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04178896123151707,1.0007003657472378,0.5094533141745501,0.1879339957869636,0.040660820781858016,0.0374331550802139,0.0962566844919786,0.18716577540106952,0,64,True
2017-10,2017-10-01,6,12,25,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.041688832485182986,0.9983026303136333,0.5112952492282691,0.1880106473541739,0.040661397405692,0.0374331550802139,0.08021390374331551,0.20320855614973263,0,60,True
2017-10,2017-10-01,10,20,33,24779,759,3.0630776060373703,4478,187,0.041759714158106295,0.04277752067885378,1.02437292834175,0.5126673537574603,0.18624192901313802,0.04059962046063784,0.0481283422459893,0.10160427807486631,0.21390374331550802,0,44,True
