test_month,model,n_train,n_test,average_precision,brier,log_loss,roc_auc,beta_z2,admm_iterations
2018-03,GN_EQ0,51805,6969,0.3190058050422735,0.15999552672663994,0.5181900032631384,0.6922144976048322,0.0,0
2018-03,GNADMM_LE0,51805,6969,0.31814322148904967,0.16000003076025743,0.5181724117278507,0.6923774387529034,-0.4687325717909012,179892
2018-04,LOGIT_MLE,58774,6763,0.14420570499858879,0.04270395968764929,0.188455028798857,0.7306733546903321,-0.6220241986234272,0
2018-04,GN_FREE_BRIER,58774,6763,0.15724954974562402,0.042465932119386866,0.18656658159824446,0.7336052881417888,-1.7297548450551745,0
2018-04,GNADMM_GE0,58774,6763,0.15634637880847074,0.04242214185239667,0.18109511578540533,0.7363752671740222,0.0,3908
2018-04,GN_EQ0,58774,6763,0.15634637880847074,0.04242214185250904,0.1810951157857864,0.7363752671740222,0.0,0
2018-04,GNADMM_LE0,58774,6763,0.15650419326146847,0.04244835750997112,0.18644985330183658,0.7348146154978702,-1.0109876645110898,240000
2018-05,LOGIT_MLE,65537,6716,0.14506536019789357,0.05906805238420563,0.22521278373726086,0.7216082913262645,0.2566108253388177,0
2018-05,GN_FREE_BRIER,65537,6716,0.14826718216234167,0.05913985493194484,0.23738055862943672,0.720388637812156,-1.6182159346620957,0
2018-05,GNADMM_GE0,65537,6716,0.14915677028360122,0.05910266014199832,0.2268007409890925,0.7218371574251116,0.0,26
2018-05,GN_EQ0,65537,6716,0.14915677028360122,0.059102660142052524,0.2268007409891586,0.7218371574251116,0.0,0
2018-05,GNADMM_LE0,65537,6716,0.14856154343695935,0.059129997082238546,0.23673610872012446,0.7208501723738338,-1.1852948101605219,240000
2018-06,LOGIT_MLE,72253,6071,0.09415134741502243,0.01403280151961517,0.08889419149575746,0.7236222534339515,0.2007779270234718,0
2018-06,GN_FREE_BRIER,72253,6071,0.08989797350787068,0.013842721688919646,0.08605133813744281,0.7196491061013639,-1.1827694247609837,0
2018-06,GNADMM_GE0,72253,6071,0.10131736964780544,0.013822113766170653,0.08592422957325412,0.7214964172637893,0.19611145147890258,65928
2018-06,GN_EQ0,72253,6071,0.10006370694582238,0.013826464370639188,0.08594725198701558,0.7212536005903778,0.0,0
2018-06,GNADMM_LE0,72253,6071,0.08990030964039802,0.013842746133192991,0.08605165691179413,0.7196467255457424,-1.1852739958895968,80
2018-07,LOGIT_MLE,78324,6136,0.06165820087976471,0.040049258599224764,0.18656379065931183,0.560143224518398,0.12318897762453045,0
2018-07,GN_FREE_BRIER,78324,6136,0.07072756170093139,0.041819167829058736,0.1924489067871385,0.5598713524519721,-0.9832180887055348,0
2018-07,GNADMM_GE0,78324,6136,0.07073285291221032,0.04168593743586569,0.19198338549127583,0.5597531831343462,0.1453210346997501,12877
2018-07,GN_EQ0,78324,6136,0.07099943051456652,0.04168412041612877,0.1919755885405293,0.5598275554321526,0.0,0
2018-07,GNADMM_LE0,78324,6136,0.07090250464157793,0.041828868112100695,0.19248325543067538,0.5598705260931074,-1.1141930203562285,207733
2018-08,LOGIT_MLE,84460,6323,0.0673282395828677,0.06487480094172557,0.26344000316037053,0.45687484603715856,6.893056599042622e-05,0
2018-08,GN_FREE_BRIER,84460,6323,0.06257433464976649,0.0655706551260955,0.27016077282156964,0.4332248570576566,-0.22438251591780617,0
2018-08,GNADMM_GE0,84460,6323,0.06258417884691196,0.0656110875956125,0.2703179812270505,0.43285404970892916,0.0,6704
2018-08,GN_EQ0,84460,6323,0.06258417884691196,0.06561108786004777,0.27031798314780825,0.43285404970892916,0.0,0
2018-08,GNADMM_LE0,84460,6323,0.06239638510597925,0.06561015288903055,0.27032836054470133,0.43307143443667967,-0.8780793793251457,240000
