year,uf,city_norm,id_municipio,population,log_population,gdp_current,gdp_per_capita,log_gdp_per_capita
2018,BA,ARACAS,2902054,12143.0,9.404590499635411,209393.319,17243.95,9.755274625975611
2018,BA,ARACI,2902104,54099.0,10.898589464834572,425123.773,7858.26,8.969447733408392
2018,BA,ARAMARI,2902203,11332.0,9.335474102732949,91558.423,8079.63,8.997225118772645
2018,BA,ARATACA,2902252,11079.0,9.312896960301275,81632.289,7368.2,8.905064431123353
2018,BA,ARATUIPE,2902302,8813.0,9.084096645401932,66061.17,7495.88,8.922242212972398
2018,BA,AURELINO LEAL,2902401,11774.0,9.373733918884618,106735.942,9065.39,9.112329448444514
2018,BA,BAIANOPOLIS,2902500,13824.0,9.534233826390535,171337.967,12394.24,9.425067806928066
2018,BA,BAIXA GRANDE,2902609,20488.0,9.9276434357472,159362.988,7778.36,8.95922935157792
2018,BA,BANZAE,2902658,13217.0,9.489334816030398,96593.56,7308.28,8.896900052680813
2018,BA,BARRA,2902708,53231.0,10.882414998258257,365649.929,6869.12,8.834936852312753
2018,BA,BARRA DA ESTIVA,2902807,20813.0,9.943381116197804,255283.575,12265.58,9.414633770246562
2018,BA,BARRA DO CHOCA,2902906,32018.0,10.374084755582075,399104.006,12464.99,9.43075941518654
2018,BA,BARRA DO MENDES,2903003,13900.0,9.539716058977092,94637.737,6808.47,8.826069569389498
2018,BA,BARRA DO ROCHA,2903102,5821.0,8.669399124305569,63164.847,10851.2,9.292123103391525
2018,BA,BARREIRAS,2903201,153831.0,11.943616376830423,4744485.923,30842.2,10.336671583643326
2018,BA,BARRO ALTO,2903235,14802.0,9.602585141913492,91831.225,6203.97,8.733105862816384
2018,BA,BARROCAS,2903276,15846.0,9.670735486942808,239436.209,15110.2,9.623191469717609
2018,BA,BARRO PRETO,2903300,5743.0,8.65591111072806,62244.756,10838.37,9.290940155223536
2018,BA,BELMONTE,2903409,23214.0,10.052553900454022,288835.774,12442.31,9.428938408071335
2018,BA,BELO CAMPO,2903508,17317.0,9.759501702007746,130549.767,7538.82,8.927953588038
2018,BA,BIRITINGA,2903607,15975.0,9.67884287509565,121533.928,7607.76,8.937055494083598
2018,BA,BOA NOVA,2903706,12953.0,9.469159899742863,92736.074,7159.43,8.876325314017333
2018,BA,BOA VISTA DO TUPIM,2903805,18622.0,9.832152654931505,121711.324,6535.89,8.785216796180343
2018,BA,BOM JESUS DA LAPA,2903904,68609.0,11.136193575684937,1010113.446,14722.75,9.597217115272993
2018,BA,BOM JESUS DA SERRA,2903953,9942.0,9.204624064980074,57801.453,5813.87,8.668173708726941
2018,BA,BONINAL,2904001,14288.0,9.56724528946897,96625.087,6762.67,8.819320921128726
2018,BA,BONITO,2904050,16637.0,9.719444514843833,165166.536,9927.66,9.20318080332109
2018,BA,BOQUIRA,2904100,21520.0,9.976784481597585,149673.081,6955.07,8.847369938678284
2018,BA,BOTUPORA,2904209,10300.0,9.239996256883693,90687.065,8804.57,9.083139754780511
2018,BA,BREJOES,2904308,14370.0,9.572967566074247,120559.034,8389.63,9.034870886034318
2018,BA,BREJOLANDIA,2904407,10493.0,9.258558944246657,84905.181,8091.6,8.998705342844842
2018,BA,BROTAS DE MACAUBAS,2904506,10341.0,9.243968552956167,80397.669,7774.65,8.958752334839216
2018,BA,BRUMADO,2904605,67048.0,11.113178974355504,1768379.13,26374.82,10.180202960342475
2018,BA,BUERAREMA,2904704,18391.0,9.819671066443018,192220.236,10451.86,9.254630904158791
2018,BA,BURITIRAMA,2904753,21067.0,9.95551058060328,128256.072,6088.01,8.714240785913024
2018,BA,CAATIBA,2904803,7043.0,8.859931469616097,65210.836,9258.96,9.133455007976467
2018,BA,CABACEIRAS DO PARAGUACU,2904852,18698.0,9.83622532547696,118311.201,6327.48,8.752815359920959
2018,BA,CACHOEIRA,2904902,33861.0,10.430048720688177,473573.597,13985.81,9.545870021644715
2018,BA,CACULE,2905008,23045.0,10.04524749757396,273607.126,11872.73,9.382083675815144
2018,BA,CAEM,2905107,9372.0,9.145588494746486,73920.49,7887.38,8.973146069564311
2018,BA,CAETANOS,2905156,15524.0,9.65020690680168,86958.489,5601.55,8.630977130222496
2018,BA,CAETITE,2905206,50861.0,10.83687136183646,857297.47,16855.69,9.732502889624854
2018,BA,CAFARNAUM,2905305,18356.0,9.81776625213065,161002.999,8771.14,9.079336069282743
2018,BA,CAIRU,2905404,17913.0,9.79333780903514,1129041.924,63029.19,11.051369096940181
2018,BA,CALDEIRAO GRANDE,2905503,13260.0,9.4925826756776,91070.657,6868.07,8.834784004873852
2018,BA,CAMACAN,2905602,31968.0,10.372521962240313,282456.078,8835.59,9.086656334605994
2018,BA,CAMACARI,2905701,293723.0,12.59039582988491,23822597.744,81105.66,11.303520357570244
2018,BA,CAMAMU,2905800,35248.0,10.470192439043686,346156.696,9820.61,9.192340339030158
2018,BA,CAMPO ALEGRE DE LOURDES,2905909,28844.0,10.26969194669099,217479.234,7539.84,8.928088860632377
2018,BA,CAMPO FORMOSO,2906006,70912.0,11.169209052553029,1127395.784,15898.52,9.674044199073391
2018,BA,CANAPOLIS,2906105,9719.0,9.181940897454485,65720.12,6762.02,8.819224814838051
2018,BA,CANARANA,2906204,26020.0,10.16665918330341,194032.789,7457.06,8.917050605758698
2018,BA,CANAVIEIRAS,2906303,31301.0,10.351437272250447,312193.71,9973.92,9.207829221675778
2018,BA,CANDEAL,2906402,8338.0,9.028698584086985,54054.85,6482.95,8.777085171536507
2018,BA,CANDEIAS,2906501,86677.0,11.369955382010774,4358053.224,50279.23,10.825367237077174
2018,BA,CANDIBA,2906600,14268.0,9.565844630930576,111715.485,7829.79,8.965818677892837
