year,month,uf,diesel_common_state_mean,diesel_s10_state_mean,diesel_common_state_n_posts,diesel_s10_state_n_posts
2017,4,MG,3.013347651775487,3.1495438271604943,1746,1620
2017,4,MS,3.351188841201717,3.484172661870504,233,278
2017,4,MT,3.335982857142857,3.4686240786240785,350,407
2017,4,PA,3.319279503105591,3.337548223350254,322,394
2017,4,PB,2.9842582781456954,3.066018292682927,151,164
2017,4,PE,2.9490116279069767,2.976971812080537,172,745
2017,4,PI,3.074283870967742,3.1887488372093022,155,215
2017,4,PR,2.8510491631799164,2.9626736441484303,956,1051
2017,4,RJ,3.1331497326203204,3.292775086505191,935,1156
2017,4,RN,3.0576443298969074,3.2202836538461534,194,208
2017,4,RO,3.2646254826254824,3.3701327800829874,259,241
2017,4,RR,3.269,3.345,29,31
2017,4,RS,2.9369147368421054,3.1061763110307417,950,1106
2017,4,SC,2.9595786290322583,3.091748704663212,496,772
2017,4,SE,2.9521521739130434,3.090205882352941,92,136
2017,4,SP,2.938845834486576,3.0761901867129824,3613,4606
2017,4,TO,2.9925897435897433,3.0610522875816994,117,153
2017,5,AC,3.8337222222222223,3.843657657657658,126,111
2017,5,AL,3.0631474654377873,3.1654375,217,224
2017,5,AM,3.271840707964602,3.406390243902439,226,205
2017,5,AP,3.5186179775280904,4.018217391304348,89,69
2017,5,BA,3.0014518900343643,3.1118396946564886,1164,1310
2017,5,CE,3.148160975609756,3.244571891891892,410,925
2017,5,DF,3.243,3.412,52,110
2017,5,ES,3.0695973333333333,3.1634193548387093,375,372
2017,5,GO,3.0752571428571427,3.235130281690141,840,568
2017,5,MA,2.9989310344827587,3.0923632734530937,406,501
2017,5,MG,3.0291824953445063,3.1626537298387096,2148,1984
2017,5,MS,3.3424693877551017,3.473173913043478,294,345
2017,5,MT,3.3448341836734694,3.4781252747252744,392,455
2017,5,PA,3.3035850515463916,3.3208305439330545,388,478
2017,5,PB,2.9958762376237624,3.0815454545454544,202,209
2017,5,PE,2.9569950980392155,2.966793179317931,204,909
2017,5,PI,3.054478947368421,3.1603494423791822,190,269
2017,5,PR,2.8352865546218493,2.940350579150579,1190,1295
2017,5,RJ,3.1387876588021775,3.298333096590909,1102,1408
2017,5,RN,3.070432098765432,3.2127430830039527,243,253
2017,5,RO,3.2393257328990224,3.3395740072202162,307,277
2017,5,RR,3.252,3.305,39,43
2017,5,RS,2.9571968641114985,3.1167675250357654,1148,1398
2017,5,SC,2.936524064171123,3.0614182939362795,561,973
2017,5,SE,2.9364018691588782,3.0974022988505747,107,174
2017,5,SP,2.950288124002735,3.0824045102184634,4387,5676
2017,5,TO,2.992514084507042,3.0377111111111113,142,180
2017,6,AC,3.7682647058823524,3.7924462809917356,136,121
2017,6,AL,3.028111731843575,3.1315851063829783,179,188
2017,6,AM,3.2377914438502673,3.378068322981366,187,161
2017,6,AP,3.4723428571428574,4.007,70,54
2017,6,BA,2.979974522292993,3.082851325757576,942,1056
