fold_id,test_month,feature,repeat,baseline_ap,permuted_ap,ap_drop
6,2017-12,mean_price,3,0.11627705634929113,0.08910549306460634,0.027171563284684785
6,2017-12,mean_price,4,0.11627705634929113,0.08221826095723173,0.0340587953920594
6,2017-12,mean_price,5,0.11627705634929113,0.08562371021310247,0.030653346136188656
6,2017-12,max_price,1,0.11627705634929113,0.09067014238066481,0.025606913968626313
6,2017-12,max_price,2,0.11627705634929113,0.08951687935208796,0.026760176997203164
6,2017-12,max_price,3,0.11627705634929113,0.0931227073878772,0.023154348961413926
6,2017-12,max_price,4,0.11627705634929113,0.09194538948172878,0.024331666867562343
6,2017-12,max_price,5,0.11627705634929113,0.09095408160720973,0.025322974742081394
6,2017-12,min_price,1,0.11627705634929113,0.08444123767956317,0.031835818669727955
6,2017-12,min_price,2,0.11627705634929113,0.08336325179542045,0.032913804553870676
6,2017-12,min_price,3,0.11627705634929113,0.0878891418916527,0.028387914457638427
6,2017-12,min_price,4,0.11627705634929113,0.09357516590412163,0.0227018904451695
6,2017-12,min_price,5,0.11627705634929113,0.08410146908428649,0.032175587265004635
6,2017-12,price_range,1,0.11627705634929113,0.11554811725765912,0.0007289390916320054
6,2017-12,price_range,2,0.11627705634929113,0.11420691228386201,0.0020701440654291164
6,2017-12,price_range,3,0.11627705634929113,0.11666981771827242,-0.0003927613689812953
6,2017-12,price_range,4,0.11627705634929113,0.11398778219304789,0.0022892741562432345
6,2017-12,price_range,5,0.11627705634929113,0.11672452656310454,-0.0004474702138134168
6,2017-12,total_freight,1,0.11627705634929113,0.11599106972759057,0.0002859866217005541
6,2017-12,total_freight,2,0.11627705634929113,0.11566644146892391,0.000610614880367219
6,2017-12,total_freight,3,0.11627705634929113,0.11534212381093834,0.0009349325383527923
6,2017-12,total_freight,4,0.11627705634929113,0.11573588002108696,0.0005411763282041626
6,2017-12,total_freight,5,0.11627705634929113,0.11502692632639819,0.0012501300228929396
6,2017-12,mean_freight,1,0.11627705634929113,0.1123254933749521,0.003951562974339032
6,2017-12,mean_freight,2,0.11627705634929113,0.11018644099713709,0.006090615352154036
6,2017-12,mean_freight,3,0.11627705634929113,0.11125457689583684,0.005022479453454284
6,2017-12,mean_freight,4,0.11627705634929113,0.1180449810342472,-0.0017679246849560681
6,2017-12,mean_freight,5,0.11627705634929113,0.11222406833304002,0.004052988016251105
